Surface Area,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
MoCAvsCN,L_bankssts,-0.008,9.64,-20.68,17.14,-0.18,1069,940,0.855,
MoCAvsCN,L_caudalanteriorcingulate,0.066,8.14,-2.91,29.03,2.09,1168,1026,0.109,
MoCAvsCN,L_caudalmiddlefrontal,0.066,19.22,-6.90,68.49,1.39,1165,1035,0.109,
MoCAvsCN,L_cuneus,-0.037,11.93,-33.53,13.27,-0.70,1110,939,0.396,
MoCAvsCN,L_entorhinal,0.054,5.22,-3.46,16.99,1.63,1162,1017,0.195,
MoCAvsCN,L_fusiform,0.021,21.02,-30.17,52.29,0.35,1170,1013,0.599,
MoCAvsCN,L_inferiorparietal,-0.028,32.16,-85.51,40.63,-0.50,1127,1006,0.485,
MoCAvsCN,L_inferiortemporal,-0.030,25.39,-68.82,30.75,-0.59,1107,991,0.453,
MoCAvsCN,L_isthmuscingulate,0.055,9.19,-5.42,30.62,1.26,1171,1031,0.170,
MoCAvsCN,L_lateraloccipital,-0.063,32.62,-115.54,12.43,-1.09,1151,1006,0.114,
MoCAvsCN,L_lateralorbitofrontal,0.056,15.11,-8.79,50.49,0.82,1168,1026,0.168,
MoCAvsCN,L_lingual,-0.030,23.89,-64.41,29.30,-0.59,1155,998,0.463,
MoCAvsCN,L_medialorbitofrontal,0.037,12.51,-13.07,35.98,0.63,1160,1018,0.360,
MoCAvsCN,L_middletemporal,-0.083,22.21,-88.38,-1.28,-1.49,1087,943,0.044,
MoCAvsCN,L_parahippocampal,0.034,5.76,-6.50,16.08,0.71,1170,1030,0.406,
MoCAvsCN,L_paracentral,0.106,10.02,6.05,45.36,1.93,1169,1028,0.010,
MoCAvsCN,L_parsopercularis,0.009,13.72,-23.76,30.06,0.20,1172,1025,0.819,
MoCAvsCN,L_parsorbitalis,0.058,4.53,-2.29,15.50,1.07,1171,1025,0.145,
MoCAvsCN,L_parstriangularis,0.075,10.40,-1.74,39.06,1.52,1173,1023,0.073,
MoCAvsCN,L_pericalcarine,-0.025,14.77,-37.94,20.01,-0.66,1113,940,0.544,
MoCAvsCN,L_postcentral,-0.046,23.86,-73.03,20.56,-0.63,1132,995,0.272,
MoCAvsCN,L_posteriorcingulate,0.031,11.21,-13.56,30.40,0.74,1169,1032,0.452,
MoCAvsCN,L_precentral,-0.020,26.45,-64.87,38.88,-0.27,1126,1018,0.623,
MoCAvsCN,L_precuneus,0.001,23.99,-46.83,47.25,0.01,1171,1033,0.993,
MoCAvsCN,L_rostralanteriorcingulate,0.046,9.24,-7.74,28.50,1.26,1141,1022,0.262,
MoCAvsCN,L_rostralmiddlefrontal,-0.33,37.15,-103.89,41.81,-0.57,1171,1026,0.404,
