CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY1PDvsH2YPD,L_bankssts,0.008,0.012,-0.022,0.026,0.086,386,919,0.874,
HY1PDvsH2YPD,L_caudalanteriorcingulate,0.008,0.018,-0.032,0.037,0.110,436,1046,0.871,
HY1PDvsH2YPD,L_caudalmiddlefrontal,0.028,0.011,-0.015,0.027,0.247,433,1051,0.576,
HY1PDvsH2YPD,L_cuneus,-0.044,0.009,-0.026,0.010,-0.469,407,980,0.375,
HY1PDvsH2YPD,L_entorhinal,-0.016,0.022,-0.050,0.036,-0.207,428,1028,0.761,
HY1PDvsH2YPD,L_fusiform,-0.033,0.011,-0.029,0.014,-0.291,429,1038,0.494,
HY1PDvsH2YPD,L_inferiorparietal,-0.031,0.010,-0.025,0.013,-0.264,429,1015,0.532,
HY1PDvsH2YPD,L_inferiortemporal,0.020,0.011,-0.018,0.027,0.176,412,1020,0.686,
HY1PDvsH2YPD,L_isthmuscingulate,-0.061,0.013,-0.040,0.010,-0.652,436,1052,0.231,
HY1PDvsH2YPD,L_lateraloccipital,-0.035,0.009,-0.025,0.012,-0.317,423,1036,0.480,
HY1PDvsH2YPD,L_lateralorbitofrontal,0.011,0.011,-0.019,0.024,0.099,429,1055,0.818,
HY1PDvsH2YPD,L_lingual,-0.053,0.008,-0.026,0.007,-0.488,429,1020,0.268,
HY1PDvsH2YPD,L_medialorbitofrontal,-0.001,0.011,-0.022,0.021,-0.012,428,1042,0.980,
HY1PDvsH2YPD,L_middletemporal,-0.052,0.012,-0.035,0.011,-0.461,389,960,0.295,
HY1PDvsH2YPD,L_parahippocampal,-0.076,0.019,-0.067,0.009,-1.133,435,1055,0.131,
HY1PDvsH2YPD,L_paracentral,0.001,0.012,-0.023,0.023,0.009,435,1047,0.987,
HY1PDvsH2YPD,L_parsopercularis,-0.016,0.010,-0.023,0.017,-0.140,437,1053,0.742,
HY1PDvsH2YPD,L_parsorbitalis,-0.028,0.013,-0.032,0.018,-0.274,428,1050,0.580,
HY1PDvsH2YPD,L_parstriangularis,0.020,0.010,-0.016,0.024,0.182,428,1053,0.682,
HY1PDvsH2YPD,L_pericalcarine,-0.105,0.009,-0.039,-0.003,-1.346,414,976,0.020,
