SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY3PDvsCN,L_bankssts,-0.177,12.91,-56.36,-5.64,-3.14,453,228,0.017,
HY3PDvsCN,L_caudalanteriorcingulate,-0.103,10.61,-35.43,6.25,-2.34,497,256,0.170,
HY3PDvsCN,L_caudalmiddlefrontal,-0.184,27.20,-122.73,-15.93,-3.13,499,257,0.011,
HY3PDvsCN,L_cuneus,-0.234,17.09,-84.35,-17.24,-3.53,471,223,0.003,
HY3PDvsCN,L_entorhinal,-0.090,6.98,-22.06,5.35,-2.01,497,256,0.232,
HY3PDvsCN,L_fusiform,-0.260,29.16,-162.94,-48.43,-3.40,499,252,<0.001,
HY3PDvsCN,L_inferiorparietal,-0.208,47.16,-225.13,-39.93,-2.99,482,247,0.005,
HY3PDvsCN,L_inferiortemporal,-0.260,36.53,-199.30,-55.86,-3.96,478,232,<0.001,
HY3PDvsCN,L_isthmuscingulate,-0.029,13.02,-30.89,20.23,-0.53,499,258,0.682,
HY3PDvsCN,L_lateraloccipital,-0.324,46.95,-303.75,-119.38,-4.49,489,246,<0.001,
HY3PDvsCN,L_lateralorbitofrontal,-0.160,21.71,-90.40,-5.16,-1.89,500,258,0.028,
HY3PDvsCN,L_lingual,-0.253,33.75,-183.06,-50.52,-3.98,488,241,<0.001,
HY3PDvsCN,L_medialorbitofrontal,-0.222,17.06,-86.17,-19.17,-2.89,493,254,0.002,
HY3PDvsCN,L_middletemporal,-0.300,32.79,-196.86,-68.09,-4.43,464,229,<0.001,
HY3PDvsCN,L_parahippocampal,-0.190,8.57,-38.88,-5.25,-3.28,499,257,0.010,
HY3PDvsCN,L_paracentral,0.042,15.11,-21.01,38.31,0.65,497,253,0.597,
HY3PDvsCN,L_parsopercularis,-0.172,19.30,-82.70,-6.90,-2.83,500,257,0.021,
HY3PDvsCN,L_parsorbitalis,-0.171,6.33,27.60,-2.73,-2.45,499,258,0.017,
HY3PDvsCN,L_parstriangularis,-0.068,15.05,-43.40,15.71,-1.12,500,258,0.358,
HY3PDvsCN,L_pericalcarine,-0.166,22.61,-91.64,-2.86,-3.53,467,217,0.037,
HY3PDvsCN,L_postcentral,-0.197,34.16,-157.02,-22.87,-2.18,482,246,0.009,
HY3PDvsCN,L_posteriorcingulate,-0.125,13.52,-49.85,3.22,-2.06,498,256,0.085,
HY3PDvsCN,L_precentral,-0.123,40.98,-148.80,12.12,-1.41,480,245,0.096,
HY3PDvsCN,L_precuneus,-0.284,33.52,-201.27,-69.64,-3.67,499,256,<0.001,
HY3PDvsCN,L_rostralanteriorcingulate,0.042,12.65,-17.67,32.00,0.87,482,255,0.571,
HY3PDvsCN,L_rostralmiddlefrontal,-0.256,54.08,-299.08,-86.72,-3.51,500,255,<0.001,
HY3PDvsCN,L_superiorfrontal,-0.159,59.62,-250.14,-16.01,-1.91,488,251,0.026,
HY3PDvsCN,L_superiorparietal,-0.306,49.33,-296.43,-102.71,-3.77,495,242,<0.001,
HY3PDvsCN,L_superiortemporal,-0.154,34.84,-137.26,-0.42,-1.86,451,210,0.049,
HY3PDvsCN,L_supramarginal,-0.188,44.78,-198.92,-23.06,-2.92,476,243,0.013,
HY3PDvsCN,L_frontalpole,-0.291,2.72,-17.56,-6.88,-5.82,500,258,<0.001,
HY3PDvsCN,L_temporalpole,-0.162,5.11,-21.53,-1.45,-2.42,494,237,0.025,
HY3PDvsCN,L_transversetemporal,-0.004,5.98,-12.09,11.39,-0.08,501,257,0.953,
HY3PDvsCN,L_insula,-0.060,19.28,-54.62,21.08,-0.76,495,253,0.385,
HY3PDvsCN,R_bankssts,-0.144,11.25,-44.39,-0.20,-2.45,482,238,0.048,
HY3PDvsCN,R_caudalanteriorcingulate,-0.059,12.37,-34.32,14.25,-1.34,499,256,0.417,
HY3PDvsCN,R_caudalmiddlefrontal,-0.142,28.43,-109.78,1.84,-2.61,495,255,0.058,
HY3PDvsCN,R_cuneus,-0.271,17.61,-96.64,-27.49,-4.16,448,228,<0.001,
HY3PDvsCN,R_entorhinal,-0.059,6.43,-17.58,7.67,-1.38,486,243,0.442,
HY3PDvsCN,R_fusiform,-0.207,29.73,-144.82,-28.08,-2.85,499,252,0.004,
HY3PDvsCN,R_inferiorparietal,-0.197,55.23,-257.51,-40.63,-2.83,492,250,0.007,
HY3PDvsCN,R_inferiortemporal,-0.270,33.71,-188.44,-56.07,-4,480,240,<0.001,
HY3PDvsCN,R_isthmuscingulate,0.042,11.29,-15.08,29.24,0.76,500,255,0.531,
HY3PDvsCN,R_lateraloccipital,-0.286,49.49,-289.44,-95.09,-4.18,490,250,<0.001,
HY3PDvsCN,R_lateralorbitofrontal,-0.118,23.74,-85.67,7.53,-1.58,500,256,0.100,
HY3PDvsCN,R_lingual,-0.294,33.37,-199.09,-68.05,-4.48,473,243,<0.001,
HY3PDvsCN,R_medialorbitofrontal,-0.182,15.67,-70.26,-8.73,-2.19,491,254,0.012,
HY3PDvsCN,R_middletemporal,-0.353,31.01,-215.25,-93.47,-4.72,478,249,<0.001,
HY3PDvsCN,R_parahippocampal,-0.130,7.17,-26.84,1.32,-1.96,500,255,0.076,
HY3PDvsCN,R_paracentral,-0.003,17.09,-34.22,32.87,-0.04,499,252,0.968,
HY3PDvsCN,R_parsopercularis,-0.104,16.30,-55.17,8.86,-1.74,499,257,0.156,
HY3PDvsCN,R_parsorbitalis,-0.195,7.77,-36.16,-5.66,-2.80,499,256,0.007,
HY3PDvsCN,R_parstriangularis,-0.083,18.05,-55.73,15.15,-1.43,499,257,0.261,
HY3PDvsCN,R_pericalcarine,-0.147,21.53,-83.81,0.75,-2.85,440,220,0.054,
