SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
CHR-PS+<CHR-PS-,L_bankssts,0.07,,-0.11,0.24,,,0.34,
CHR-PS+<CHR-PS-,L_caudalanteriorcingulate,0.06,,-0.12,0.23,,,0.43,
CHR-PS+<CHR-PS-,L_caudalmiddlefrontal,0.12,,-0.06,0.29,,,0.10,
CHR-PS+<CHR-PS-,L_cuneus,-0.03,,-0.21,0.15,,,0.67,
CHR-PS+<CHR-PS-,L_entorhinal,0,,-0.17,0.18,,,0.95,
CHR-PS+<CHR-PS-,L_fusiform,0.06,,-0.12,0.23,,,0.41,
CHR-PS+<CHR-PS-,L_inferiorparietal,0.16,,-0.02,0.33,,,0.02,
CHR-PS+<CHR-PS-,L_inferiortemporal,0.09,,-0.09,0.26,,,0.20,
CHR-PS+<CHR-PS-,L_isthmuscingulate,-0.05,,-0.22,0.13,,,0.48,
CHR-PS+<CHR-PS-,L_lateraloccipital,0,,-0.17,0.18,,,0.96,
CHR-PS+<CHR-PS-,L_lateralorbitofrontal,0.03,,-0.14,0.21,,,0.63,
CHR-PS+<CHR-PS-,L_lingual,-0.10,,-0.28,0.07,,,0.15,
CHR-PS+<CHR-PS-,L_medialorbitofrontal,0.13,,-0.04,0.31,,,0.05,
CHR-PS+<CHR-PS-,L_middletemporal,0.05,,-0.13,0.22,,,0.52,
CHR-PS+<CHR-PS-,L_parahippocampal,0.01,,-0.17,0.18,,,0.93,
CHR-PS+<CHR-PS-,L_paracentral,0.10,,-0.07,0.28,,,0.13,
CHR-PS+<CHR-PS-,L_parsopercularis,0.03,,-0.15,0.2,,,0.69,
CHR-PS+<CHR-PS-,L_parsorbitalis,0.10,,-0.08,0.27,,,0.16,
CHR-PS+<CHR-PS-,L_parstriangularis,-0.04,,-0.21,0.14,,,0.58,
CHR-PS+<CHR-PS-,L_pericalcarine,-0.08,,-0.25,0.1,,,0.28,
CHR-PS+<CHR-PS-,L_postcentral,0.07,,-0.11,0.25,,,0.32,
CHR-PS+<CHR-PS-,L_posteriorcingulate,0.14,,-0.04,0.31,,,0.05,
CHR-PS+<CHR-PS-,L_precentral,0.04,,-0.14,0.21,,,0.58,
CHR-PS+<CHR-PS-,L_precuneus,0.03,,-0.14,0.21,,,0.64,
CHR-PS+<CHR-PS-,L_rostralanteriorcingulate,0.05,,-0.12,0.23,,,0.46,
CHR-PS+<CHR-PS-,L_rostralmiddlefrontal,0.15,,-0.02,0.33,,,0.03,
