Cortical thickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
AgevsCortThick,L_bankssts,-0.17,,,,,,,
AgevsCortThick,L_caudalanteriorcingulate,0.066,,,,,,,
AgevsCortThick,L_caudalmiddlefrontal,-0.174,,,,,,,
AgevsCortThick,L_cuneus,-0.096,,,,,,,
AgevsCortThick,L_entorhinal,-0.174,,,,,,,
AgevsCortThick,L_fusiform,-0.174,,,,,,,
AgevsCortThick,L_inferiorparietal,-0.233,,,,,,,
AgevsCortThick,L_inferiortemporal,-0.088,,,,,,,
AgevsCortThick,L_isthmuscingulate,-0.137,,,,,,,
AgevsCortThick,L_lateraloccipital,-0.252,,,,,,,
AgevsCortThick,L_lateralorbitofrontal,-0.136,,,,,,,
AgevsCortThick,L_lingual,-0.198,,,,,,,
AgevsCortThick,L_medialorbitofrontal,-0.012,,,,,,,
AgevsCortThick,L_middletemporal,-0.19,,,,,,,
AgevsCortThick,L_parahippocampal,-0.102,,,,,,,
AgevsCortThick,L_paracentral,-0.183,,,,,,,
AgevsCortThick,L_parsopercularis,-0.12,,,,,,,
AgevsCortThick,L_parsorbitalis,-0.076,,,,,,,
AgevsCortThick,L_parstriangularis,-0.1,,,,,,,
AgevsCortThick,L_pericalcarine,-0.068,,,,,,,
AgevsCortThick,L_postcentral,-0.243,,,,,,,
AgevsCortThick,L_posteriorcingulate,-0.069,,,,,,,
AgevsCortThick,L_precentral,-0.319,,,,,,,
AgevsCortThick,L_precuneus,-0.265,,,,,,,
AgevsCortThick,L_rostralanteriorcingulate,0.052,,,,,,,
AgevsCortThick,L_rostralmiddlefrontal,-0.11,,,,,,,
AgevsCortThick,L_superiorfrontal,-0.25,,,,,,,
AgevsCortThick,L_superiorparietal,-0.265,,,,,,,
AgevsCortThick,L_superiortemporal,-0.325,,,,,,,
AgevsCortThick,L_supramarginal,-0.244,,,,,,,
AgevsCortThick,L_frontalpole,-0.025,,,,,,,
AgevsCortThick,L_temporalpole,-0.125,,,,,,,
AgevsCortThick,L_transversetemporal,-0.189,,,,,,,
AgevsCortThick,L_insula,-0.142,,,,,,,
AgevsCortThick,R_bankssts,-0.199,,,,,,,
AgevsCortThick,R_caudalanteriorcingulate,0.127,,,,,,,
AgevsCortThick,R_caudalmiddlefrontal,-0.174,,,,,,,
AgevsCortThick,R_cuneus,-0.159,,,,,,,
AgevsCortThick,R_entorhinal,-0.178,,,,,,,
AgevsCortThick,R_fusiform,-0.245,,,,,,,
AgevsCortThick,R_inferiorparietal,-0.249,,,,,,,
AgevsCortThick,R_inferiortemporal,-0.14,,,,,,,
AgevsCortThick,R_isthmuscingulate,-0.11,,,,,,,
AgevsCortThick,R_lateraloccipital,-0.252,,,,,,,
AgevsCortThick,R_lateralorbitofrontal,-0.005,,,,,,,
AgevsCortThick,R_lingual,-0.166,,,,,,,
AgevsCortThick,R_medialorbitofrontal,0.072,,,,,,,
AgevsCortThick,R_middletemporal,-0.156,,,,,,,
AgevsCortThick,R_parahippocampal,-0.085,,,,,,,
AgevsCortThick,R_paracentral,-0.26,,,,,,,
AgevsCortThick,R_parsopercularis,-0.07,,,,,,,
AgevsCortThick,R_parsorbitalis,-0.045,,,,,,,
AgevsCortThick,R_parstriangularis,-0.046,,,,,,,
AgevsCortThick,R_pericalcarine,-0.119,,,,,,,
AgevsCortThick,R_postcentral,-0.284,,,,,,,
AgevsCortThick,R_posteriorcingulate,-0.004,,,,,,,
AgevsCortThick,R_precentral,-0.329,,,,,,,
AgevsCortThick,R_precuneus,-0.309,,,,,,,
AgevsCortThick,R_rostralanteriorcingulate,0.151,,,,,,,
AgevsCortThick,R_rostralmiddlefrontal,0.001,,,,,,,
AgevsCortThick,R_superiorfrontal,-0.167,,,,,,,
AgevsCortThick,R_superiorparietal,-0.258,,,,,,,
AgevsCortThick,R_superiortemporal,-0.322,,,,,,,
AgevsCortThick,R_supramarginal,-0.275,,,,,,,
AgevsCortThick,R_frontalpole,-0.025,,,,,,,
AgevsCortThick,R_temporalpole,-0.158,,,,,,,
AgevsCortThick,R_transversetemporal,-0.211,,,,,,,
AgevsCortThick,R_insula,-0.159,,,,,,,
