Cortical thickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
AgevsCortThick,L_bankssts,-0.403,,,,,,,
AgevsCortThick,L_caudalanteriorcingulate,-0.3,,,,,,,
AgevsCortThick,L_caudalmiddlefrontal,-0.395,,,,,,,
AgevsCortThick,L_cuneus,-0.423,,,,,,,
AgevsCortThick,L_entorhinal,0.037,,,,,,,
AgevsCortThick,L_fusiform,-0.34,,,,,,,
AgevsCortThick,L_inferiorparietal,-0.543,,,,,,,
AgevsCortThick,L_inferiortemporal,-0.29,,,,,,,
AgevsCortThick,L_isthmuscingulate,-0.37,,,,,,,
AgevsCortThick,L_lateraloccipital,-0.419,,,,,,,
AgevsCortThick,L_lateralorbitofrontal,-0.493,,,,,,,
AgevsCortThick,L_lingual,-0.445,,,,,,,
AgevsCortThick,L_medialorbitofrontal,-0.393,,,,,,,
AgevsCortThick,L_middletemporal,-0.365,,,,,,,
AgevsCortThick,L_parahippocampal,-0.181,,,,,,,
AgevsCortThick,L_paracentral,-0.462,,,,,,,
AgevsCortThick,L_parsopercularis,-0.422,,,,,,,
AgevsCortThick,L_parsorbitalis,-0.399,,,,,,,
AgevsCortThick,L_parstriangularis,-0.463,,,,,,,
AgevsCortThick,L_pericalcarine,-0.306,,,,,,,
AgevsCortThick,L_postcentral,-0.419,,,,,,,
AgevsCortThick,L_posteriorcingulate,-0.485,,,,,,,
AgevsCortThick,L_precentral,-0.287,,,,,,,
AgevsCortThick,L_precuneus,-0.567,,,,,,,
AgevsCortThick,L_rostralanteriorcingulate,-0.327,,,,,,,
AgevsCortThick,L_rostralmiddlefrontal,-0.521,,,,,,,
AgevsCortThick,L_superiorfrontal,-0.531,,,,,,,
AgevsCortThick,L_superiorparietal,-0.519,,,,,,,
AgevsCortThick,L_superiortemporal,-0.294,,,,,,,
AgevsCortThick,L_supramarginal,-0.481,,,,,,,
AgevsCortThick,L_frontalpole,-0.258,,,,,,,
AgevsCortThick,L_temporalpole,0.018,,,,,,,
AgevsCortThick,L_transversetemporal,-0.273,,,,,,,
AgevsCortThick,L_insula,-0.382,,,,,,,
AgevsCortThick,R_bankssts,-0.384,,,,,,,
AgevsCortThick,R_caudalanteriorcingulate,-0.291,,,,,,,
AgevsCortThick,R_caudalmiddlefrontal,-0.386,,,,,,,
AgevsCortThick,R_cuneus,-0.462,,,,,,,
AgevsCortThick,R_entorhinal,0.05,,,,,,,
AgevsCortThick,R_fusiform,-0.368,,,,,,,
AgevsCortThick,R_inferiorparietal,-0.542,,,,,,,
AgevsCortThick,R_inferiortemporal,-0.308,,,,,,,
AgevsCortThick,R_isthmuscingulate,-0.376,,,,,,,
AgevsCortThick,R_lateraloccipital,-0.414,,,,,,,
AgevsCortThick,R_lateralorbitofrontal,-0.44,,,,,,,
AgevsCortThick,R_lingual,-0.455,,,,,,,
AgevsCortThick,R_medialorbitofrontal,-0.427,,,,,,,
AgevsCortThick,R_middletemporal,-0.381,,,,,,,
AgevsCortThick,R_parahippocampal,-0.197,,,,,,,
AgevsCortThick,R_paracentral,-0.443,,,,,,,
AgevsCortThick,R_parsopercularis,-0.405,,,,,,,
AgevsCortThick,R_parsorbitalis,-0.356,,,,,,,
AgevsCortThick,R_parstriangularis,-0.445,,,,,,,
AgevsCortThick,R_pericalcarine,-0.303,,,,,,,
AgevsCortThick,R_postcentral,-0.424,,,,,,,
AgevsCortThick,R_posteriorcingulate,-0.466,,,,,,,
AgevsCortThick,R_precentral,-0.313,,,,,,,
AgevsCortThick,R_precuneus,-0.552,,,,,,,
AgevsCortThick,R_rostralanteriorcingulate,-0.273,,,,,,,
AgevsCortThick,R_rostralmiddlefrontal,-0.494,,,,,,,
AgevsCortThick,R_superiorfrontal,-0.503,,,,,,,
AgevsCortThick,R_superiorparietal,-0.513,,,,,,,
AgevsCortThick,R_superiortemporal,-0.328,,,,,,,
AgevsCortThick,R_supramarginal,-0.494,,,,,,,
AgevsCortThick,R_frontalpole,-0.277,,,,,,,
AgevsCortThick,R_temporalpole,0.107,,,,,,,
AgevsCortThick,R_transversetemporal,-0.297,,,,,,,
AgevsCortThick,R_insula,-0.372,,,,,,,
