Cortical thickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
AgevsCortThick,L_bankssts,-0.176,,,,,,,
AgevsCortThick,L_caudalanteriorcingulate,0.073,,,,,,,
AgevsCortThick,L_caudalmiddlefrontal,-0.163,,,,,,,
AgevsCortThick,L_cuneus,-0.11,,,,,,,
AgevsCortThick,L_entorhinal,-0.198,,,,,,,
AgevsCortThick,L_fusiform,-0.173,,,,,,,
AgevsCortThick,L_inferiorparietal,-0.263,,,,,,,
AgevsCortThick,L_inferiortemporal,-0.092,,,,,,,
AgevsCortThick,L_isthmuscingulate,-0.147,,,,,,,
AgevsCortThick,L_lateraloccipital,-0.233,,,,,,,
AgevsCortThick,L_lateralorbitofrontal,-0.146,,,,,,,
AgevsCortThick,L_lingual,-0.224,,,,,,,
AgevsCortThick,L_medialorbitofrontal,-0.067,,,,,,,
AgevsCortThick,L_middletemporal,-0.227,,,,,,,
AgevsCortThick,L_parahippocampal,-0.129,,,,,,,
AgevsCortThick,L_paracentral,-0.198,,,,,,,
AgevsCortThick,L_parsopercularis,-0.164,,,,,,,
AgevsCortThick,L_parsorbitalis,-0.093,,,,,,,
AgevsCortThick,L_parstriangularis,-0.109,,,,,,,
AgevsCortThick,L_pericalcarine,-0.122,,,,,,,
AgevsCortThick,L_postcentral,-0.226,,,,,,,
AgevsCortThick,L_posteriorcingulate,-0.083,,,,,,,
AgevsCortThick,L_precentral,-0.321,,,,,,,
AgevsCortThick,L_precuneus,-0.294,,,,,,,
AgevsCortThick,L_rostralanteriorcingulate,0.032,,,,,,,
AgevsCortThick,L_rostralmiddlefrontal,-0.092,,,,,,,
AgevsCortThick,L_superiorfrontal,-0.239,,,,,,,
AgevsCortThick,L_superiorparietal,-0.266,,,,,,,
AgevsCortThick,L_superiortemporal,-0.37,,,,,,,
AgevsCortThick,L_supramarginal,-0.269,,,,,,,
AgevsCortThick,L_frontalpole,-0.02,,,,,,,
AgevsCortThick,L_temporalpole,-0.135,,,,,,,
AgevsCortThick,L_transversetemporal,-0.169,,,,,,,
AgevsCortThick,L_insula,-0.165,,,,,,,
AgevsCortThick,R_bankssts,-0.195,,,,,,,
AgevsCortThick,R_caudalanteriorcingulate,0.09,,,,,,,
AgevsCortThick,R_caudalmiddlefrontal,-0.186,,,,,,,
AgevsCortThick,R_cuneus,-0.145,,,,,,,
AgevsCortThick,R_entorhinal,-0.212,,,,,,,
AgevsCortThick,R_fusiform,-0.235,,,,,,,
AgevsCortThick,R_inferiorparietal,-0.255,,,,,,,
AgevsCortThick,R_inferiortemporal,-0.153,,,,,,,
AgevsCortThick,R_isthmuscingulate,-0.11,,,,,,,
AgevsCortThick,R_lateraloccipital,-0.254,,,,,,,
AgevsCortThick,R_lateralorbitofrontal,-0.017,,,,,,,
AgevsCortThick,R_lingual,-0.192,,,,,,,
AgevsCortThick,R_medialorbitofrontal,0.032,,,,,,,
AgevsCortThick,R_middletemporal,-0.168,,,,,,,
AgevsCortThick,R_parahippocampal,-0.127,,,,,,,
AgevsCortThick,R_paracentral,-0.227,,,,,,,
AgevsCortThick,R_parsopercularis,-0.113,,,,,,,
AgevsCortThick,R_parsorbitalis,-0.054,,,,,,,
AgevsCortThick,R_parstriangularis,-0.078,,,,,,,
AgevsCortThick,R_pericalcarine,-0.125,,,,,,,
AgevsCortThick,R_postcentral,-0.245,,,,,,,
AgevsCortThick,R_posteriorcingulate,-0.058,,,,,,,
AgevsCortThick,R_precentral,-0.304,,,,,,,
AgevsCortThick,R_precuneus,-0.307,,,,,,,
AgevsCortThick,R_rostralanteriorcingulate,0.104,,,,,,,
AgevsCortThick,R_rostralmiddlefrontal,-0.023,,,,,,,
AgevsCortThick,R_superiorfrontal,-0.189,,,,,,,
AgevsCortThick,R_superiorparietal,-0.239,,,,,,,
AgevsCortThick,R_superiortemporal,-0.357,,,,,,,
AgevsCortThick,R_supramarginal,-0.277,,,,,,,
AgevsCortThick,R_frontalpole,-0.025,,,,,,,
AgevsCortThick,R_temporalpole,-0.208,,,,,,,
AgevsCortThick,R_transversetemporal,-0.157,,,,,,,
AgevsCortThick,R_insula,-0.199,,,,,,,
