CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY3PDvsHY4PDandHY5PD,R_pericalcarine,0.056,0.022,-0.029,0.056,0.873,222,69,0.530,
HY3PDvsHY4PDandHY5PD,R_postcentral,-0.107,0.018,-0.058,0.012,-1.217,244,80,0.204,
HY3PDvsHY4PDandHY5PD,R_posteriorcingulate,-0.157,0.022,-0.081,0.004,-1.661,259,81,0.079,
HY3PDvsHY4PDandHY5PD,R_precentral,0.006,0.022,-0.042,0.044,0.060,247,80,0.950,
HY3PDvsHY4PDandHY5PD,R_precuneus,-0.054,0.019,-0.047,0.026,-0.495,258,81,0.565,
HY3PDvsHY4PDandHY5PD,R_rostralanteriorcingulate,-0.106,0.034,-0.105,0.031,-1.352,255,81,0.285,
HY3PDvsHY4PDandHY5PD,R_rostralmiddlefrontal,-0.242,0.021,-0.098,-0.015,-2.528,259,80,0.008,
HY3PDvsHY4PDandHY5PD,R_superiorfrontal,0.016,0.019,-0.034,0.040,0.127,251,80,0.868,
HY3PDvsHY4PDandHY5PD,R_superiorparietal,-0.035,0.020,-0.047,0.030,-0.404,247,81,0.680,
HY3PDvsHY4PDandHY5PD,R_superiortemporal,-0.121,0.021,-0.072,0.011,-1.233,239,77,0.145,
HY3PDvsHY4PDandHY5PD,R_supramarginal,-0.216,0.020,-0.085,-0.005,-1.954,250,80,0.026,
HY3PDvsHY4PDandHY5PD,R_frontalpole,-0.295,0.034,-0.161,-0.027,-3.607,257,81,0.006,
HY3PDvsHY4PDandHY5PD,R_temporalpole,-0.148,0.043,-0.153,0.017,-1.925,241,80,0.119,
HY3PDvsHY4PDandHY5PD,R_transversetemporal,-0.038,0.032,-0.081,0.045,-0.834,259,80,0.581,
HY3PDvsHY4PDandHY5PD,R_insula,-0.243,0.027,-0.123,-0.018,-2.504,256,81,0.008,
