Cortical thickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
AgevsCortThick,L_bankssts,-0.182,,,,,,,
AgevsCortThick,L_caudalanteriorcingulate,-0.054,,,,,,,
AgevsCortThick,L_caudalmiddlefrontal,-0.217,,,,,,,
AgevsCortThick,L_cuneus,-0.139,,,,,,,
AgevsCortThick,L_entorhinal,0.029,,,,,,,
AgevsCortThick,L_fusiform,-0.14,,,,,,,
AgevsCortThick,L_inferiorparietal,-0.192,,,,,,,
AgevsCortThick,L_inferiortemporal,-0.103,,,,,,,
AgevsCortThick,L_isthmuscingulate,-0.168,,,,,,,
AgevsCortThick,L_lateraloccipital,-0.049,,,,,,,
AgevsCortThick,L_lateralorbitofrontal,-0.145,,,,,,,
AgevsCortThick,L_lingual,-0.176,,,,,,,
AgevsCortThick,L_medialorbitofrontal,-0.113,,,,,,,
AgevsCortThick,L_middletemporal,-0.162,,,,,,,
AgevsCortThick,L_parahippocampal,-0.082,,,,,,,
AgevsCortThick,L_paracentral,-0.223,,,,,,,
AgevsCortThick,L_parsopercularis,-0.258,,,,,,,
AgevsCortThick,L_parsorbitalis,-0.161,,,,,,,
AgevsCortThick,L_parstriangularis,-0.232,,,,,,,
AgevsCortThick,L_pericalcarine,-0.13,,,,,,,
AgevsCortThick,L_postcentral,-0.193,,,,,,,
AgevsCortThick,L_posteriorcingulate,-0.221,,,,,,,
AgevsCortThick,L_precentral,-0.266,,,,,,,
AgevsCortThick,L_precuneus,-0.207,,,,,,,
AgevsCortThick,L_rostralanteriorcingulate,-0.103,,,,,,,
AgevsCortThick,L_rostralmiddlefrontal,-0.167,,,,,,,
AgevsCortThick,L_superiorfrontal,-0.279,,,,,,,
AgevsCortThick,L_superiorparietal,-0.145,,,,,,,
AgevsCortThick,L_superiortemporal,-0.24,,,,,,,
AgevsCortThick,L_supramarginal,-0.232,,,,,,,
AgevsCortThick,L_frontalpole,-0.057,,,,,,,
AgevsCortThick,L_temporalpole,0.004,,,,,,,
AgevsCortThick,L_transversetemporal,-0.209,,,,,,,
AgevsCortThick,L_insula,-0.192,,,,,,,
AgevsCortThick,R_bankssts,-0.18,,,,,,,
AgevsCortThick,R_caudalanteriorcingulate,-0.11,,,,,,,
AgevsCortThick,R_caudalmiddlefrontal,-0.212,,,,,,,
AgevsCortThick,R_cuneus,-0.162,,,,,,,
AgevsCortThick,R_entorhinal,0.013,,,,,,,
AgevsCortThick,R_fusiform,-0.146,,,,,,,
AgevsCortThick,R_inferiorparietal,-0.187,,,,,,,
AgevsCortThick,R_inferiortemporal,-0.049,,,,,,,
AgevsCortThick,R_isthmuscingulate,-0.2,,,,,,,
AgevsCortThick,R_lateraloccipital,-0.058,,,,,,,
AgevsCortThick,R_lateralorbitofrontal,-0.15,,,,,,,
AgevsCortThick,R_lingual,-0.178,,,,,,,
AgevsCortThick,R_medialorbitofrontal,-0.14,,,,,,,
AgevsCortThick,R_middletemporal,-0.164,,,,,,,
AgevsCortThick,R_parahippocampal,-0.076,,,,,,,
AgevsCortThick,R_paracentral,-0.212,,,,,,,
AgevsCortThick,R_parsopercularis,-0.266,,,,,,,
AgevsCortThick,R_parsorbitalis,-0.13,,,,,,,
AgevsCortThick,R_parstriangularis,-0.247,,,,,,,
AgevsCortThick,R_pericalcarine,-0.159,,,,,,,
AgevsCortThick,R_postcentral,-0.186,,,,,,,
AgevsCortThick,R_posteriorcingulate,-0.186,,,,,,,
AgevsCortThick,R_precentral,-0.249,,,,,,,
AgevsCortThick,R_precuneus,-0.21,,,,,,,
AgevsCortThick,R_rostralanteriorcingulate,-0.083,,,,,,,
AgevsCortThick,R_rostralmiddlefrontal,-0.166,,,,,,,
AgevsCortThick,R_superiorfrontal,-0.247,,,,,,,
AgevsCortThick,R_superiorparietal,-0.123,,,,,,,
AgevsCortThick,R_superiortemporal,-0.247,,,,,,,
AgevsCortThick,R_supramarginal,-0.196,,,,,,,
AgevsCortThick,R_frontalpole,-0.064,,,,,,,
AgevsCortThick,R_temporalpole,0.026,,,,,,,
AgevsCortThick,R_transversetemporal,-0.19,,,,,,,
AgevsCortThick,R_insula,-0.197,,,,,,,
