SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY3PDvsCN,Laccumb,-0.150,10.13,-43.05,-3.27,-4.98,492,256,0.023,
HY3PDvsCN,Lamyg,-0.441,19.43,-164.18,-87.88,-8.63,492,256,<0.001,
HY3PDvsCN,Lcaud,-0.221,39.79,-206.64,-50.39,-3.72,494,251,0.001,
HY3PDvsCN,Lhippo,-0.240,40.25,-212.07,-54.00,-3.43,477,249,<0.001,
HY3PDvsCN,Lpal,-0.169,22.43,-103.28,-15.19,-3.97,445,239,0.008,
HY3PDvsCN,Lput,-0.267,55.72,-339.53,-120.69,-4.67,450,242,<0.001,
HY3PDvsCN,Lthal,0.002,69.11,-133.96,137.42,0.02,478,249,0.980,
HY3PDvsCN,LLatVent,0.158,664.17,122.04,2729.96,9.70,498,257,0.032,
HY3PDvsCN,Raccumb,-0.157,9.38,-41.73,-4.89,-4.83,490,251,0.013,
HY3PDvsCN,Ramyg,-0.316,20.91,-139.18,-57.06,-6.28,491,257,<0.001,
HY3PDvsCN,Rcaud,-0.170,39.86,-181.73,-25.20,-2.97,500,255,0.010,
HY3PDvsCN,Rhippo,-0.283,42.26,-253.74,-87.00,-4.27,487,255,<0.001,
HY3PDvsCN,Rpal,-0.152,20.66,-88.91,-7.77,-3.22,481,249,0.020,
HY3PDvsCN,Rput,-0.239,51.77,-296.78,-93.50,-4.16,473,249,<0.001,
HY3PDvsCN,Rthal,-0.088,60.84,-200.16,38.77,-1.23,487,250,0.185,
HY3PDvsCN,RLatVent,0.166,597.40,183.40,2529.14,10.06,499,257,0.023,
