CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_contols,n_patients,pobs,fdr_p
APS<HC,L_bankssts,-0.10,,-0.17,-0.02,,,0.01,
APS<HC,L_caudalanteriorcingulate,-0.06,,-0.14,0.01,,,0.09,
APS<HC,L_caudalmiddlefrontal,-0.10,,-0.18,-0.03,,,6.00E-03,
APS<HC,L_cuneus,0.01,,-0.06,0.09,,,0.70,
APS<HC,L_entorhinal,-0.01,,-0.09,0.06,,,0.70,
APS<HC,L_fusiform,-0.17,,-0.24,-0.09,,,1.17E-05,
APS<HC,L_inferiorparietal,-0.17,,-0.24,-0.09,,,8.6E-06,
APS<HC,L_inferiortemporal,-0.10,,-0.18,-0.03,,,6.67E-03,
APS<HC,L_isthmuscingulate,-0.01,,-0.09,0.06,,,0.69,
APS<HC,L_lateraloccipital,-0.11,,-0.19,-0.04,,,2.7E-03,
APS<HC,L_lateralorbitofrontal,-0.07,,-0.14,0,,,0.06,
APS<HC,L_lingual,-0.03,,-0.11,0.04,,,0.40,
APS<HC,L_medialorbitofrontal,-0.12,,-0.19,-0.04,,,2.22E-03,
APS<HC,L_middletemporal,-0.09,,-0.16,-0.02,,,0.02,
APS<HC,L_parahippocampal,-0.13,,-0.2,-0.05,,,8.44E-04,
APS<HC,L_paracentral,-0.15,,-0.22,-0.08,,,6.45E-05,
APS<HC,L_parsopercularis,-0.04,,-0.12,0.03,,,0.25,
APS<HC,L_parsorbitalis,-0.05,,-0.12,0.02,,,0.19,
APS<HC,L_parstriangularis,0.03,,-0.04,0.11,,,0.39,
APS<HC,L_pericalcarine,0.02,,-0.06,0.09,,,0.67,
APS<HC,L_postcentral,-0.08,,-0.16,-0.01,,,0.03,
APS<HC,L_posteriorcingulate,-0.09,,-0.17,-0.02,,,0.01,
APS<HC,L_precentral,-0.11,,-0.19,-0.04,,,2.98E-03,
APS<HC,L_precuneus,-0.11,,-0.19,-0.04,,,2.63E-03,
APS<HC,L_rostralanteriorcingulate,-0.09,,-0.16,-0.02,,,0.02,
APS<HC,L_rostralmiddlefrontal,-0.12,,-0.19,-0.05,,,1.4E-03,
APS<HC,L_superiorfrontal,-0.10,,-0.17,-0.02,,,9.21E-03,
APS<HC,L_superiorparietal,-0.10,,-0.17,-0.03,,,7.41E-03,
APS<HC,L_superiortemporal,-0.11,,-0.19,-0.04,,,2.92E-03,
APS<HC,L_supramarginal,-0.09,,-0.16,-0.02,,,0.02,
APS<HC,L_frontalpole,-0.04,,-0.12,0.03,,,0.25,
APS<HC,L_temporalpole,-0.05,,-0.12,0.02,,,0.18,
APS<HC,L_transversetemporal,-0.06,,-0.13,0.01,,,0.12,
APS<HC,L_insula,-0.16,,-0.23,-0.08,,,2.97E-05,
APS<HC,R_bankssts,-0.14,,-0.21,-0.06,,,2.44E-04,
APS<HC,R_caudalanteriorcingulate,-0.08,,-0.15,0,,,0.04,
APS<HC,R_caudalmiddlefrontal,-0.13,,-0.2,-0.05,,,7.91E-04,
APS<HC,R_cuneus,-0.05,,-0.12,0.03,,,0.23,
APS<HC,R_entorhinal,-0.04,,-0.12,0.03,,,0.24,
APS<HC,R_fusiform,-0.10,,-0.17,-0.02,,,0.01,
APS<HC,R_inferiorparietal,-0.12,,-0.19,-0.05,,,1.38E-03,
APS<HC,R_inferiortemporal,-0.13,,-0.21,-0.06,,,4.79E-04,
APS<HC,R_isthmuscingulate,-0.05,,-0.13,0.02,,,0.17,
APS<HC,R_lateraloccipital,-0.15,,-0.22,-0.08,,,7.86E-05,
APS<HC,R_lateralorbitofrontal,-0.08,,-0.15,-0.01,,,0.03,
APS<HC,R_lingual,0,,-0.07,0.08,,,0.92,
APS<HC,R_medialorbitofrontal,-0.10,,-0.17,-0.02,,,0.01,
APS<HC,R_middletemporal,-0.18,,-0.26,-0.11,,,1.2E-06,
APS<HC,R_parahippocampal,-0.06,,-0.14,0.01,,,0.09,
APS<HC,R_paracentral,-0.11,,-0.18,-0.03,,,5.03E-03,
APS<HC,R_parsopercularis,-0.07,,-0.14,0.01,,,0.08,
APS<HC,R_parsorbitalis,0.02,,-0.06,0.09,,,0.63,
APS<HC,R_parstriangularis,-0.05,,-0.12,0.03,,,0.22,
APS<HC,R_pericalcarine,0.05,,-0.02,0.13,,,0.17,
APS<HC,R_postcentral,-0.12,,-0.19,-0.04,,,2.28E-03,
APS<HC,R_posteriorcingulate,-0.12,,-0.2,-0.05,,,1.01E-03,
APS<HC,R_precentral,-0.12,,-0.2,-0.05,,,1.05E-03,
APS<HC,R_precuneus,-0.13,,-0.21,-0.06,,,3.93E-04,
APS<HC,R_rostralanteriorcingulate,-0.07,,-0.15,0,,,0.05,
APS<HC,R_rostralmiddlefrontal,-0.11,,-0.18,-0.03,,,4.4E-03,
APS<HC,R_superiorfrontal,-0.08,,-0.16,-0.01,,,0.03,
APS<HC,R_superiorparietal,-0.12,,-0.2,-0.05,,,1.06E-03,
APS<HC,R_superiortemporal,-0.13,,-0.2,-0.05,,,7.18E-04,
APS<HC,R_supramarginal,-0.09,,-0.16,-0.01,,,0.02,
APS<HC,R_frontalpole,-0.07,,-0.15,0,,,0.05,
APS<HC,R_temporalpole,-0.08,,-0.15,-0.01,,,0.03,
APS<HC,R_transversetemporal,-0.09,,-0.16,-0.01,,,0.02,
APS<HC,R_insula,-0.14,,-0.21,-0.07,,,2.31E-04,
