CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY3PDvsCN,L_bankssts,-0.172,0.017,-0.081,-0.013,-2.077,459,227,0.007,
HY3PDvsCN,L_caudalanteriorcingulate,0.087,0.025,-0.017,0.080,1.226,497,255,0.204,
HY3PDvsCN,L_caudalmiddlefrontal,-0.0258,0.014,-0.082,-0.028,-2.308,499,258,<0.001,
HY3PDvsCN,L_cuneus,-0.129,0.013,-0.052,-0.001,-1.521,475,223,0.039,
HY3PDvsCN,L_entorhinal,-0.276,0.029,-0.174,-0.062,-3.672,499,257,<0.001,
HY3PDvsCN,L_fusiform,-0.372,0.014,-0.117,-0.061,-3.476,499,252,<0.001,
HY3PDvsCN,L_inferiorparietal,-0.359,0.013,-0.103,-0.051,-3.427,483,248,<0.001,
HY3PDvsCN,L_inferiortemporal,-0.336,0.014,-0.106,-0.049,-2.928,481,232,<0.001,
HY3PDvsCN,L_isthmuscingulate,-0.283,0.017,-0.107,-0.039,-3.154,501,257,<0.001,
HY3PDvsCN,L_lateraloccipital,-0.220,0.013,-0.071,-0.020,-2.210,489,246,<0.001,
HY3PDvsCN,L_lateralorbitofrontal,-0.166,0.014,-0.062,-0.008,-1.397,500,258,0.011,
HY3PDvsCN,L_lingual,-0.217,0.012,-0.068,-0.020,-2.320,490,242,<0.001,
HY3PDvsCN,L_medialorbitofrontal,-0.005,0.014,-0.029,0.027,-0.048,496,254,0.937,
HY3PDvsCN,L_middletemporal,-0.311,0.016,-0.109,-0.048,-2.954,470,229,<0.001,
HY3PDvsCN,L_parahippocampal,-0.183,0.028,-0.128,-0.020,-2.895,499,257,0.007,
HY3PDvsCN,L_paracentral,-0.211,0.015,-0.085,-0.025,-2.466,498,255,<0.001,
HY3PDvsCN,L_parsopercularis,-0.095,0.013,-0.047,0.005,-0.868,501,257,0.119,
HY3PDvsCN,L_parsorbitalis,-0.121,0.018,-0.071,0.002,-1.371,499,258,0.061,
HY3PDvsCN,L_parstriangularis,-0.165,0.014,-0.064,-0.011,-1.663,501,258,0.006,
HY3PDvsCN,L_pericalcarine,-0.031,0.013,-0.032,0.019,-0.436,473,217,0.607,
HY3PDvsCN,L_postcentral,-0.077,0.012,-0.039,0.008,-0.810,481,246,0.186,
HY3PDvsCN,L_posteriorcingulate,-0.094,0.015,-0.050,0.007,-0.907,500,257,0.145,
HY3PDvsCN,L_precentral,-0.244,0.015,-0.088,-0.031,-2.522,480,245,<0.001,
HY3PDvsCN,L_precuneus,-0.267,0.013,-0.085,-0.034,-2.701,501,255,<0.001,
HY3PDvsCN,L_rostralanteriorcingulate,0.075,0.021,-0.018,0.064,0.838,494,255,0.275,
