SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY2PDvsHY3PD,Laccumb,-0.125,8.13,-33.64,-1.75,-3.75,,262,0.030,
HY2PDvsHY3PD,Lamyg,-0.285,15.75,-104.51,-42.71,-5.07,,262,<0.001,
HY2PDvsHY3PD,Lcaud,-0.127,36.15,-143.28,-1.44,-2.10,,257,0.046,
HY2PDvsHY3PD,Lhippo,-0.213,33.83,-182.03,-49.28,-2.96,,255,0.001,
HY2PDvsHY3PD,Lpal,-0.017,19.60,-43.93,32.97,-0.37,,245,0.780,
HY2PDvsHY3PD,Lput,-0.205,47.32,-250.24,-64.56,-3.19,,247,0.001,
HY2PDvsHY3PD,Lthal,-0.085,56.69,-197.88,24.58,-1.18,,255,0.127,
HY2PDvsHY3PD,LLatVent,0.168,524.61,277.22,2335.60,9.02,,263,0.013,
HY2PDvsHY3PD,Raccumb,-0.123,7.96,-32.18,-0.94,-3.40,,257,0.038,
HY2PDvsHY3PD,Ramyg,-0.190,17.34,-89.42,-21.40,-3.54,,263,0.001,
HY2PDvsHY3PD,Rcaud,-0.140,35.52,-149.76,-10.38,-2.28,,261,0.024,
HY2PDvsHY3PD,Rhippo,-0.209,33.75,-181.83,-49.40,-2.88,,261,0.001,
HY2PDvsHY3PD,Rpal,-0.082,17.52,-58.32,10.40,-1.60,,255,0.172,
HY2PDvsHY3PD,Rput,-0.125,44.31,-180.89,-7.05,-2.00,,254,0.034,
HY2PDvsHY3PD,Rthal,-0.143,48.12,-212.71,-23.91,-1.75,,256,0.014,
HY2PDvsHY3PD,RLatVent,0.128,491.25,-27.98,1899.50,6.90,,263,0.057,
