Cortical thickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
AgevsCortThick,L_bankssts,-0.401,,,,,,,
AgevsCortThick,L_caudalanteriorcingulate,-0.278,,,,,,,
AgevsCortThick,L_caudalmiddlefrontal,-0.383,,,,,,,
AgevsCortThick,L_cuneus,-0.385,,,,,,,
AgevsCortThick,L_entorhinal,0.008,,,,,,,
AgevsCortThick,L_fusiform,-0.343,,,,,,,
AgevsCortThick,L_inferiorparietal,-0.52,,,,,,,
AgevsCortThick,L_inferiortemporal,-0.31,,,,,,,
AgevsCortThick,L_isthmuscingulate,-0.362,,,,,,,
AgevsCortThick,L_lateraloccipital,-0.381,,,,,,,
AgevsCortThick,L_lateralorbitofrontal,-0.48,,,,,,,
AgevsCortThick,L_lingual,-0.404,,,,,,,
AgevsCortThick,L_medialorbitofrontal,-0.396,,,,,,,
AgevsCortThick,L_middletemporal,-0.385,,,,,,,
AgevsCortThick,L_parahippocampal,-0.171,,,,,,,
AgevsCortThick,L_paracentral,-0.427,,,,,,,
AgevsCortThick,L_parsopercularis,-0.424,,,,,,,
AgevsCortThick,L_parsorbitalis,-0.386,,,,,,,
AgevsCortThick,L_parstriangularis,-0.447,,,,,,,
AgevsCortThick,L_pericalcarine,-0.274,,,,,,,
AgevsCortThick,L_postcentral,-0.382,,,,,,,
AgevsCortThick,L_posteriorcingulate,-0.487,,,,,,,
AgevsCortThick,L_precentral,-0.278,,,,,,,
AgevsCortThick,L_precuneus,-0.543,,,,,,,
AgevsCortThick,L_rostralanteriorcingulate,-0.326,,,,,,,
AgevsCortThick,L_rostralmiddlefrontal,-0.5,,,,,,,
AgevsCortThick,L_superiorfrontal,-0.503,,,,,,,
AgevsCortThick,L_superiorparietal,-0.484,,,,,,,
AgevsCortThick,L_superiortemporal,-0.312,,,,,,,
AgevsCortThick,L_supramarginal,-0.47,,,,,,,
AgevsCortThick,L_frontalpole,-0.244,,,,,,,
AgevsCortThick,L_temporalpole,0.003,,,,,,,
AgevsCortThick,L_transversetemporal,-0.262,,,,,,,
AgevsCortThick,L_insula,-0.381,,,,,,,
AgevsCortThick,R_bankssts,-0.385,,,,,,,
AgevsCortThick,R_caudalanteriorcingulate,-0.279,,,,,,,
AgevsCortThick,R_caudalmiddlefrontal,-0.379,,,,,,,
AgevsCortThick,R_cuneus,-0.415,,,,,,,
AgevsCortThick,R_entorhinal,0.024,,,,,,,
AgevsCortThick,R_fusiform,-0.367,,,,,,,
AgevsCortThick,R_inferiorparietal,-0.52,,,,,,,
AgevsCortThick,R_inferiortemporal,-0.32,,,,,,,
AgevsCortThick,R_isthmuscingulate,-0.372,,,,,,,
AgevsCortThick,R_lateraloccipital,-0.382,,,,,,,
AgevsCortThick,R_lateralorbitofrontal,-0.447,,,,,,,
AgevsCortThick,R_lingual,-0.426,,,,,,,
AgevsCortThick,R_medialorbitofrontal,-0.426,,,,,,,
AgevsCortThick,R_middletemporal,-0.403,,,,,,,
AgevsCortThick,R_parahippocampal,-0.183,,,,,,,
AgevsCortThick,R_paracentral,-0.411,,,,,,,
AgevsCortThick,R_parsopercularis,-0.411,,,,,,,
AgevsCortThick,R_parsorbitalis,-0.342,,,,,,,
AgevsCortThick,R_parstriangularis,-0.442,,,,,,,
AgevsCortThick,R_pericalcarine,-0.269,,,,,,,
AgevsCortThick,R_postcentral,-0.39,,,,,,,
AgevsCortThick,R_posteriorcingulate,-0.462,,,,,,,
AgevsCortThick,R_precentral,-0.292,,,,,,,
AgevsCortThick,R_precuneus,-0.532,,,,,,,
AgevsCortThick,R_rostralanteriorcingulate,-0.294,,,,,,,
AgevsCortThick,R_rostralmiddlefrontal,-0.482,,,,,,,
AgevsCortThick,R_superiorfrontal,-0.487,,,,,,,
AgevsCortThick,R_superiorparietal,-0.475,,,,,,,
AgevsCortThick,R_superiortemporal,-0.341,,,,,,,
AgevsCortThick,R_supramarginal,-0.483,,,,,,,
AgevsCortThick,R_frontalpole,-0.263,,,,,,,
AgevsCortThick,R_temporalpole,0.077,,,,,,,
AgevsCortThick,R_transversetemporal,-0.285,,,,,,,
AgevsCortThick,R_insula,-0.371,,,,,,,
