CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_civ,%diff,n_controls,n_patients,pobs,fdr_p
HY4PDandHY5PDvsCN,L_pericalcarine,-0.090,0.018,-0.053,0.019,-1.138,311,76,0.349,
HY4PDandHY5PDvsCN,L_postcentral,-0.343,0.017,-0.094,-0.028,-3.165,309,81,<0.001,
HY4PDandHY5PDvsCN,L_posteriorcingulate,-0.236,0.023,-0.095,-0.006,-2.146,328,83,0.025,
HY4PDandHY5PDvsCN,L_precentral,-0.265,0.022,-0.104,-0.016,-2.565,309,80,0.008,
HY4PDandHY5PDvsCN,L_precuneus,-0.421,0.018,-0.119,-0.047,-3.837,327,82,<0.001,
HY4PDandHY5PDvsCN,L_rostralanteriorcingulate,-0.085,0.030,-0.082,0.037,-0.836,325,83,0.454,
HY4PDandHY5PDvsCN,L_rostralmiddlefrontal,-0.243,0.016,-0.074,-0.009,-1.888,328,83,0.012,
HY4PDandHY5PDvsCN,L_superiorfrontal,-0.209,0.020,-0.078,-0.001,-1.561,322,81,0.046,
HY4PDandHY5PDvsCN,L_superiorparietal,-0.305,0.018,-0.095,-0.023,-2.911,317,83,0.001,
HY4PDandHY5PDvsCN,L_superiortemporal,-0.467,0.023,-0.148,-0.058,-4.102,297,76,<0.001,
HY4PDandHY5PDvsCN,L_supramarginal,-0.495,0.020,-0.135,-0.057,-4.155,311,83,<0.001,
HY4PDandHY5PDvsCN,L_frontalpole,-0.089,0.034,-0.093,0.040,-1.009,325,83,0.438,
HY4PDandHY5PDvsCN,L_temporalpole,-0.361,0.040,-0.210,-0.052,-3.746,324,80,0.001,
HY4PDandHY5PDvsCN,L_transversetemporal,-0.367,0.030,-0.162,-0.046,-4.922,328,83,<0.001,
HY4PDandHY5PDvsCN,L_insula,-0.246,0.026,-0.107,-0.007,-1.969,327,83,0.027,
HY4PDandHY5PDvsCN,R_bankssts,-0.346,0.025,-0.132,-0.035,-3.554,318,78,<0.001,
HY4PDandHY5PDvsCN,R_caudalanteriorcingulate,-0.212,0.034,-0.134,<0.001,-2.708,329,83,0.051,
HY4PDandHY5PDvsCN,R_caudalmiddlefrontal,-0.099,0.022,-0.064,0.024,-0.863,326,82,0.366,
HY4PDandHY5PDvsCN,R_cuneus,-0.067,0.020,-0.053,0.024,-0.845,296,75,0.449,
HY4PDandHY5PDvsCN,R_entorhinal,-0.370,0.047,-0.287,-0.103,-5.753,317,83,<0.001,
HY4PDandHY5PDvsCN,R_fusiform,-0.407,0.027,-0.180,-0.074,-4.938,329,81,<0.001,
HY4PDandHY5PDvsCN,R_inferiorparietal,-0.517,0.021,-0.152,-0.070,-4.869,321,82,<0.001,
HY4PDandHY5PDvsCN,R_inferiortemporal,-0.466,0.021,-0.143,-0.061,-3.870,324,81,<0.001,
HY4PDandHY5PDvsCN,R_isthmuscingulate,-0.366,0.025,-0.140,-0.042,-3.960,329,83,<0.001,
HY4PDandHY5PDvsCN,R_lateraloccipital,-0.320,0.021,-0.108,-0.024,-3.133,321,80,0.002,
HY4PDandHY5PDvsCN,R_lateralorbitofrontal,-0.484,0.020,-0.145,-0.066,-4.325,328,83,<0.001,
HY4PDandHY5PDvsCN,R_lingual,-0.129,0.019,-0.065,0.009,-1.444,317,77,0.140,
HY4PDandHY5PDvsCN,R_medialorbitofrontal,-0.366,0.022,-0.124,-0.038,-3.568,326,83,<0.001,
HY4PDandHY5PDvsCN,R_middletemporal,-0.461,0.022,-0.148,-0.063,-3.976,318,82,<0.001,
HY4PDandHY5PDvsCN,R_parahippocampal,-0.351,0.035,-0.183,-0.045,-4.501,328,83,0.001,
HY4PDandHY5PDvsCN,R_paracentral,-0.058,0.025,-0.064,0.034,-0.673,326,83,0.548,
HY4PDandHY5PDvsCN,R_parsopercularis,-0.300,0.020,-0.098,-0.018,-2.466,329,83,0.005,
HY4PDandHY5PDvsCN,R_parsorbitalis,-0.270,0.028,-0.124,-0.015,-2.801,328,82,0.013,
HY4PDandHY5PDvsCN,R_parstriangularis,-0.076,0.021,-0.056,0.026,-0.687,329,83,0.462,
HY4PDandHY5PDvsCN,R_pericalcarine,-0.005,0.019,-0.038,0.036,-0.072,294,71,0.953,
HY4PDandHY5PDvsCN,R_postcentral,-0.306,0.017,-0.088,-0.023,-2.935,314,81,<0.001,
HY4PDandHY5PDvsCN,R_posteriorcingulate,-0.463,0.023,-0.152,-0.062,-4.613,329,83,<0.001,
HY4PDandHY5PDvsCN,R_precentral,-0.141,0.022,-0.076,0.011,-1.414,312,81,0.139,
HY4PDandHY5PDvsCN,R_precuneus,-0.449,0.019,-0.128,-0.053,-4.125,328,83,<0.001,
HY4PDandHY5PDvsCN,R_rostralanteriorcingulate,-0.094,0.031,-0.089,0.031,-1.078,325,83,0.346,
HY4PDandHY5PDvsCN,R_rostralmiddlefrontal,-0.265,0.018,-0.089,-0.020,-2.486,324,82,0.002,
HY4PDandHY5PDvsCN,R_superiorfrontal,-0.163,0.019,-0.068,0.007,-1.252,320,81,0.105,
HY4PDandHY5PDvsCN,R_superiorparietal,-0.312,0.018,-0.101,-0.029,-3.194,321,83,<0.001,
HY4PDandHY5PDvsCN,R_superiortemporal,-0.368,0.021,-0.133,-0.049,-3.624,312,79,<0.001,
HY4PDandHY5PDvsCN,R_supramarginal,-0.521,0.021,-0.150,-0.068,-4.656,320,82,<0.001,
HY4PDandHY5PDvsCN,R_frontalpole,-0.368,0.035,-0.188,-0.048,-4.557,326,83,<0.001,
HY4PDandHY5PDvsCN,R_temporalpole,-0.428,0.040,-0.256,-0.098,-4.892,316,82,<0.001,
HY4PDandHY5PDvsCN,R_transversetemporal,-0.153,0.033,-0.129,0.002,-2.881,329,82,0.056,
HY4PDandHY5PDvsCN,R_insula,-0.393,0.029,-0.169,-0.055,-3.942,326,83,<0.001,
