Surface_Area,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY3PDvsHY4PDandHY5PD,L_bankssts,0.053,18.53,-28.21,44.74,0.85,230,72,0.656,
HY3PDvsHY4PDandHY5PD,L_caudalanteriorcingulate,-0.114,16.60,-47.59,17.74,-2.44,258,80,0.369,
HY3PDvsHY4PDandHY5PD,L_caudalmiddlefrontal,0.208,43.19,-10.73,159.23,3.41,258,81,0.087,
HY3PDvsHY4PDandHY5PD,L_cuneus,0.222,25.83,-8.35,93.37,3.02,225,74,0.101,
HY3PDvsHY4PDandHY5PD,L_entorhinal,-0.102,10.58,-30.09,11.53,-2.26,258,81,0.381,
HY3PDvsHY4PDandHY5PD,L_fusiform,0.053,43.20,-64.84,105.16,0.66,254,81,0.641,
HY3PDvsHY4PDandHY5PD,L_inferiorparietal,-0.003,71.94,-143.08,140.06,-0.04,249,79,0.983,
HY3PDvsHY4PDandHY5PD,L_inferiortemporal,-0.060,52.26,-128.67,77.04,-0.83,234,79,0.622,
HY3PDvsHY4PDandHY5PD,L_isthmuscingulate,0.075,20.33,-27.48,52.51,1.23,260,80,0.538,
HY3PDvsHY4PDandHY5PD,L_lateraloccipital,0.071,68.02,-96.12,171.58,0.82,248,76,0.580,
HY3PDvsHY4PDandHY5PD,L_lateralorbitofrontal,-0.157,33.01,-107.01,22.86,-1.68,260,81,0.203,
HY3PDvsHY4PDandHY5PD,L_lingual,0.068,48.20,-70.08,119.65,0.87,243,76,0.607,
HY3PDvsHY4PDandHY5PD,L_medialorbitofrontal,-0.022,25.61,-55.08,45.68,-0.26,256,81,0.854,
HY3PDvsHY4PDandHY5PD,L_middletemporal,0.108,49.26,-54.90,139.01,1.46,231,75,0.394,
HY3PDvsHY4PDandHY5PD,L_parahippocampal,0.094,12.26,-14.95,33.28,1.40,259,81,0.455,
HY3PDvsHY4PDandHY5PD,L_paracentral,0.016,23.43,-42.84,49.36,0.24,255,81,0.889,
HY3PDvsHY4PDandHY5PD,L_parsopercularis,0.052,28.06,-43.34,67.08,0.76,259,81,0.673,
HY3PDvsHY4PDandHY5PD,L_parsorbitalis,-0.054,9.89,-24.05,14.86,-0.74,260,81,0.643,
HY3PDvsHY4PDandHY5PD,L_parstriangularis,-0.115,21.71,-62.62,22.79,-1.60,260,80,0.359,
HY3PDvsHY4PDandHY5PD,L_pericalcarine,0.126,39.71,-41.43,114.92,2.80,219,73,0.356,
HY3PDvsHY4PDandHY5PD,L_postcentral,0.073,51.06,-71.17,129.79,0.73,248,79,0.566,
HY3PDvsHY4PDandHY5PD,L_posteriorcingulate,-0.073,19.48,-49.38,27.28,-0.99,257,81,0.571,
HY3PDvsHY4PDandHY5PD,L_precentral,0.149,64.73,-47.06,207.69,1.66,246,79,0.216,
HY3PDvsHY4PDandHY5PD,L_precuneus,-0.045,48.51,-112.66,78.22,-0.48,258,81,0.723,
HY3PDvsHY4PDandHY5PD,L_rostralanteriorcingulate,-0.100,20.93,-58.14,24.22,-2.04,257,81,0.418,
HY3PDvsHY4PDandHY5PD,L_rostralmiddlefrontal,0.109,82.61,-85.58,239.52,1.43,257,81,0.352,
HY3PDvsHY4PDandHY5PD,L_superiorfrontal,0.033,91.44,-154.78,205.08,0.36,252,80,0.783,
HY3PDvsHY4PDandHY5PD,L_superiorparietal,0.099,73.04,-85.92,201.54,1.12,244,81,0.429,
HY3PDvsHY4PDandHY5PD,L_superiortemporal,0.003,51.30,-99.99,102.04,0.03,212,74,0.984,
HY3PDvsHY4PDandHY5PD,L_supramarginal,0.004,68.89,-133.63,137.49,0.05,245,81,0.978,
HY3PDvsHY4PDandHY5PD,L_frontalpole,0.213,3.70,0.48,15.04,3.77,260,81,0.037,
HY3PDvsHY4PDandHY5PD,L_temporalpole,0.109,8.03,-8.88,22.73,1.50,239,78,0.389,
HY3PDvsHY4PDandHY5PD,L_transversetemporal,0.119,9.05,-9.15,26.44,1.91,259,81,0.340,
HY3PDvsHY4PDandHY5PD,L_insula,-0.023,30.42,-65.87,53.84,-0.27,255,81,0.843,
HY3PDvsHY4PDandHY5PD,R_bankssts,-0.053,16.57,-39.62,25.59,-0.81,240,77,0.672,
HY3PDvsHY4PDandHY5PD,R_caudalanteriorcingulate,-0.070,18.94,-47.86,26.68,-1.46,258,81,0.577,
HY3PDvsHY4PDandHY5PD,R_caudalmiddlefrontal,0.193,43.28,-17.95,152.36,3.32,256,80,0.121,
HY3PDvsHY4PDandHY5PD,R_cuneus,0.079,26.02,-35.72,66.73,1.06,230,72,0.552,
HY3PDvsHY4PDandHY5PD,R_entorhinal,0.068,10.29,-14.56,25.92,1.60,245,81,0.581,
HY3PDvsHY4PDandHY5PD,R_fusiform,-0.040,44.51,-101.76,73.39,-0.48,254,81,0.750,
HY3PDvsHY4PDandHY5PD,R_inferiorparietal,0.007,80.71,-154.25,163.38,0.09,252,81,0.955,
HY3PDvsHY4PDandHY5PD,R_inferiortemporal,0.084,48.41,-62.12,128.43,1.12,242,80,0.494,
HY3PDvsHY4PDandHY5PD,R_isthmuscingulate,0.213,18.20,-2.22,69.40,3.56,257,81,0.066,
HY3PDvsHY4PDandHY5PD,R_lateraloccipital,0.188,72.55,-34.84,250.68,2.38,252,78,0.138,
HY3PDvsHY4PDandHY5PD,R_lateralorbitofrontal,-0.039,36.46,-83.61,59.87,-0.48,258,80,0.745,
HY3PDvsHY4PDandHY5PD,R_lingual,0.147,47.74,-40.08,147.80,1.85,245,76,0.260,
HY3PDvsHY4PDandHY5PD,R_medialorbitofrontal,0.190,24.33,-8.49,87.26,2.18,256,81,0.107,
HY3PDvsHY4PDandHY5PD,R_middletemporal,0.105,44.39,-48.58,126.13,1.22,251,80,0.383,
HY3PDvsHY4PDandHY5PD,R_parahippocampal,0.093,11.44,-14.10,30.94,1.33,257,81,0.463,
HY3PDvsHY4PDandHY5PD,R_paracentral,0.031,26.31,-44.90,58.65,0.44,254,81,0.794,
HY3PDvsHY4PDandHY5PD,R_parsopercularis,-0.120,23.92,-69.80,24.34,-1.75,259,81,0.343,
