Surface_Area,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY2PDvsHY3PD,L_bankssts,-0.209,11.77,-58.22,-12.05,-3.49,917,230,0.003,
HY2PDvsHY3PD,L_caudalanteriorcingulate,-0.137,10.19,-40.94,-0.95,-3.27,1045,258,0.040,
HY2PDvsHY3PD,L_caudalmiddlefrontal,-0.094,24.77,-84.01,13.18,-1.58,1050,258,0.153,
HY2PDvsHY3PD,L_cuneus,-0.017,15.39,-33.91,26.49,-0.26,980,225,0.810,
HY2PDvsHY3PD,L_entorhinal,-0.032,6.56,-16.01,9.72,-0.76,1028,258,0.631,
HY2PDvsHY3PD,L_fusiform,-0.181,27.01,-129.04,-23.04,-2.42,1038,254,0.005,
HY2PDvsHY3PD,L_inferiorparietal,-0.176,41.05,-191.89,-30.81,-2.48,1015,249,0.007,
HY2PDvsHY3PD,L_inferiortemporal,-0.133,31.97,-126.12,-0.69,-1.98,1022,234,0.048,
HY2PDvsHY3PD,L_isthmuscingulate,-0.012,12.15,-26.15,21.51,-0.23,1052,260,0.848,
HY2PDvsHY3PD,L_lateraloccipital,-0.208,41.20,-212.07,-50.41,-2.79,1037,248,0.001,
HY2PDvsHY3PD,L_lateralorbitofrontal,-0.053,19.15,-53.02,22.13,-0.61,1054,260,0.420,
HY2PDvsHY3PD,L_lingual,-0.034,30.46,-75.39,44.15,-0.53,1019,243,0.608,
HY2PDvsHY3PD,L_medialorbitofrontal,-0.217,15.69,-83.16,-21.59,-2.86,1042,256,0.001,
HY2PDvsHY3PD,L_middletemporal,-0.155,27.03,-115.72,-9.65,-2.11,960,231,0.021,
HY2PDvsHY3PD,L_parahippocampal,-0.154,7.70,-33.43,-3.22,-2.66,1054,259,0.017,
HY2PDvsHY3PD,L_paracentral,-0.008,13.14,-27.37,24.31,-0.12,1046,255,0.904,
HY2PDvsHY3PD,L_parsopercularis,-0.086,16.71,-54.69,10.87,-1.38,1053,259,0.190,
HY2PDvsHY3PD,L_parsorbitalis,-0.009,5.72,-12.06,10.39,-0.14,1049,260,0.884,
HY2PDvsHY3PD,L_parstriangularis,0.015,13.32,-23.09,29.18,0.25,1053,260,0.819,
HY2PDvsHY3PD,L_pericalcarine,0.029,19.54,-30.40,46.28,0.60,975,219,0.684,
HY2PDvsHY3PD,L_postcentral,-0.206,31.57,-159.68,-35.79,-2.36,1002,248,0.002,
HY2PDvsHY3PD,L_posteriorcingulate,-0.099,16.48,-57.03,7.63,-2.14,1056,257,0.134,
HY2PDvsHY3PD,L_precentral,-0.130,34.70,-137.28,-1.12,-1.42,1009,246,0.046,
HY2PDvsHY3PD,L_precuneus,-0.174,29.64,-136.81,-20.51,-2.12,1053,258,0.008,
HY2PDvsHY3PD,L_rostralanteriorcingulate,0.011,11.73,-21.01,25.00,0.24,1036,257,0.865,
HY2PDvsHY3PD,L_rostralmiddlefrontal,-0.119,48.82,-188.05,3.51,-1.70,1042,257,0.059,
HY2PDvsHY3PD,L_superiorfrontal,-0.060,50.21,-146.14,50.89,-0.68,1026,252,0.343,
HY2PDvsHY3PD,L_superiorparietal,-0.132,42.53,-167.66,-0.80,-1.60,1019,244,0.048,
HY2PDvsHY3PD,L_superiortemporal,-0.071,31.08,-93.20,28.76,-0.87,902,212,0.300,
HY2PDvsHY3PD,L_supramarginal,-0.181,38.50,-181.77,-30.71,-2.77,1001,245,0.006,
HY2PDvsHY3PD,L_frontalpole,-0.166,2.42,-11.47,-1.96,-3.27,1052,260,0.006,
