SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
APS<noAPS,Laccumb,0.06,0,-0.1,0.23,,,0.46,
APS<noAPS,Lamyg,-0.09,0,-0.26,0.08,,,0.28,
APS<noAPS,Lcaud,0.09,0,-0.08,0.26,,,0.32,
APS<noAPS,Lhippo,-0.08,0,-0.25,0.09,,,0.37,
APS<noAPS,Lpal,-0.08,0,-0.25,0.09,,,0.34,
APS<noAPS,Lput,0.02,0,-0.15,0.19,,,0.83,
APS<noAPS,Lthal,-0.15,0,-0.32,0.02,,,0.09,
APS<noAPS,LLatVent,0.17,0,0,0.34,,,0.05,
APS<noAPS,Raccumb,0.03,0,-0.14,0.2,,,0.73,
APS<noAPS,Ramyg,-0.15,0,-0.32,0.02,,,0.08,
APS<noAPS,Rcaud,0.05,0,-0.12,0.22,,,0.57,
APS<noAPS,Rhippo,-0.05,0,-0.22,0.12,,,0.54,
APS<noAPS,Rpal,-0.10,0,-0.27,0.07,,,0.24,
APS<noAPS,Rput,-0.07,0,-0.24,0.1,,,0.43,
APS<noAPS,Rthal,-0.12,0,-0.29,0.05,,,0.16,
APS<noAPS,RLatVent,0.10,0,-0.07,0.27,,,0.24,
