SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_early,n_late,pobs,fdr_p
MDD_latevsearly,Laccumb,0.074,0.063,-0.049,0.198,526,938,0.238,
MDD_latevsearly,Lamyg,0.12,0.065,-0.008,0.247,537,971,0.066,
MDD_latevsearly,Lcaud,-0.059,0.077,-0.21,0.092,529,965,0.442,
MDD_latevsearly,Lhippo,0.143,0.066,0.013,0.272,533,978,0.031,
MDD_latevsearly,Lpal,-0.082,0.09,-0.258,0.094,526,942,0.359,
MDD_latevsearly,Lput,-0.028,0.07,-0.164,0.109,525,943,0.691,
MDD_latevsearly,Lthal,0.096,0.07,-0.042,0.234,531,962,0.173,
MDD_latevsearly,LLatVent,-0.133,0.062,-0.254,-0.011,533,967,0.032,
MDD_latevsearly,Raccumb,0.074,0.063,-0.049,0.198,526,938,0.238,
MDD_latevsearly,Ramyg,0.12,0.065,-0.008,0.247,537,971,0.066,
MDD_latevsearly,Rcaud,-0.059,0.077,-0.21,0.092,529,965,0.442,
MDD_latevsearly,Rhippo,0.143,0.066,0.013,0.272,533,978,0.031,
MDD_latevsearly,Rpal,-0.082,0.09,-0.258,0.094,526,942,0.359,
MDD_latevsearly,Rput,-0.028,0.07,-0.164,0.109,525,943,0.691,
MDD_latevsearly,Rthal,0.096,0.07,-0.042,0.234,531,962,0.173,
MDD_latevsearly,RLatVent,-0.133,0.062,-0.254,-0.011,533,967,0.032,
