CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY1PDvsCN,L_bankssts,-0.071,0.012,-0.041,0.007,-0.746,784,383,0.156,
HY1PDvsCN,L_caudalanteriorcingulate,-0.028,0.017,-0.043,0.025,-0.356,840,433,0.594,
HY1PDvsCN,L_caudalmiddlefrontal,-0.160,0.010,-0.050,-0.011,-1.284,840,430,0.002,
HY1PDvsCN,L_cuneus,-0.089,0.009,-0.033,0.001,-0.913,807,404,0.061,
HY1PDvsCN,L_entorhinal,-0.034,0.021,-0.056,0.028,-0.426,837,425,0.516,
HY1PDvsCN,L_fusiform,-0.160,0.010,-0.053,-0.015,-1.313,841,426,<0.001,
HY1PDvsCN,L_inferiorparietal,-0.147,0.009,-0.046,-0.010,-1.217,815,426,0.003,
HY1PDvsCN,L_inferiortemporal,-0.182,0.010,-0.058,-0.018,-1.433,804,409,<0.001,
HY1PDvsCN,L_isthmuscingulate,-0.140,0.013,-0.060,-0.009,-1.451,843,433,0.008,
HY1PDvsCN,L_lateraloccipital,-0.152,0.009,-0.045,-0.010,-1.314,827,420,0.002,
HY1PDvsCN,L_lateralorbitofrontal,-0.140,0.010,-0.048,-0.010,-1.152,840,426,0.003,
HY1PDvsCN,L_lingual,-0.105,0.008,-0.034,-0.002,-0.938,829,426,0.027,
HY1PDvsCN,L_medialorbitofrontal,-0.122,0.010,-0.045,-0.005,-1.066,836,425,0.016,
HY1PDvsCN,L_middletemporal,-0.115,0.011,-0.048,-0.004,-0.971,787,386,0.020,
HY1PDvsCN,L_parahippocampal,-0.119,0.019,-0.079,-0.005,-1.604,841,432,0.027,
HY1PDvsCN,L_paracentral,-0.125,0.011,-0.049,-0.007,1.251,841,432,0.008,
HY1PDvsCN,L_parsopercularis,-0.010,0.009,-0.021,0.016,-0.085,844,434,0.828,
HY1PDvsCN,L_parsorbitalis,-0.094,0.013,-0.048,0.002,-0.910,841,425,0.068,
HY1PDvsCN,L_parstriangularis,-0.034,0.010,-0.026,0.012,-0.297,844,425,0.479,
HY1PDvsCN,L_pericalcarine,-0.027,0.008,-0.022,0.011,-0.334,807,411,0.533,
HY1PDvsCN,L_postcentral,-0.120,0.008,-0.039,-0.005,-1.117,813,404,0.009,
HY1PDvsCN,L_posteriorcingulate,-0.073,0.010,-0.035,0.004,-0.643,843,434,0.122,
HY1PDvsCN,L_precentral,-0.127,0.011,-0.048,-0.007,-1.140,812,412,0.009,
HY1PDvsCN,L_precuneus,-0.137,0.009,-0.044,-0.010,-1.196,844,430,0.002,
HY1PDvsCN,L_rostralanteriorcingulate,-0.007,0.015,-0.032,0.027,-0.081,835,426,0.885,
