CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY1PDvsCN,L_rostralmiddlefrontal,-0.095,0.008,-0.033,-0.002,-0.769,841,424,0.032,
HY1PDvsCN,L_superiorfrontal,-0.121,0.009,-0.042,-0.005,-0.924,839,423,0.012,
HY1PDvsCN,L_superiorparietal,-0.116,0.009,-0.038,-0.005,-1.037,826,416,0.013,
HY1PDvsCN,L_superiortemporal,-0.087,0.011,-0.041,0.002,-0.740,766,378,0.082,
HY1PDvsCN,L_supramarginal,-0.090,0.010,-0.037,0.002,-0.754,809,413,0.071,
HY1PDvsCN,L_frontalpole,0.026,0.017,-0.025,0.042,0.318,841,429,0.623,
HY1PDvsCN,L_temporalpole,-0.078,0.020,-0.068,0.010,-0.812,829,413,0.144,
HY1PDvsCN,L_transversetemporal,0.006,0.014,-0.026,0.029,0.077,844,434,0.905,
HY1PDvsCN,L_insula,0.001,0.011,-0.022,0.022,0.006,840,430,0.987,
HY1PDvsCN,R_bankssts,-0.118,0.012,-0.053,-0.006,-1.233,810,418,0.013,
HY1PDvsCN,R_caudalanteriorcingulate,-0.024,0.015,-0.036,0.022,-0.284,843,431,0.638,
HY1PDvsCN,R_caudalmiddlefrontal,-0.054,0.010,-0.031,0.010,-0.447,840,430,0.302,
HY1PDvsCN,R_cuneus,-0.121,0.009,-0.043,-0.008,-1.403,785,400,0.005,
HY1PDvsCN,R_entorhinal,-0.035,0.022,-0.061,0.025,-0.526,825,418,0.415,
HY1PDvsCN,R_fusiform,-0.097,0.012,-0.051,-0.004,-1.053,843,430,0.020,
HY1PDvsCN,R_inferiorparietal,-0.217,0.009,-0.063,-0.026,-1.906,830,421,<0.001,
HY1PDvsCN,R_inferiortemporal,-0.131,0.010,-0.050,-0.010,-1.121,812,423,0.003,
HY1PDvsCN,R_isthmuscingulate,-0.151,0.012,-0.062,-0.013,-1.608,846,434,0.002,
HY1PDvsCN,R_lateraloccipital,-0.165,0.010,-0.052,-0.014,-1.525,832,426,<0.001,
HY1PDvsCN,R_lateralorbitofrontal,-0.094,0.010,-0.041,-0.002,-0.866,841,428,0.031,
HY1PDvsCN,R_lingual,-0.060,0.008,-0.029,0.005,-0.606,807,417,0.159,
HY1PDvsCN,R_medialorbitofrontal,-0.045,0.011,-0.031,0.010,-0.453,837,425,0.327,
HY1PDvsCN,R_middletemporal,-0.120,0.011,-0.050,-0.008,-1.067,812,417,0.006,
HY1PDvsCN,R_parahippocampal,-0.146,0.016,-0.074,-0.011,-1.644,844,431,0.007,
HY1PDvsCN,R_paracentral,-0.084,0.011,-0.042,0.002,-0.863,844,431,0.076,
HY1PDvsCN,R_parsopercularis,-0.060,0.010,-0.032,0.007,-0.521,845,433,0.217,
HY1PDvsCN,R_parsorbitalis,-0.068,0.013,-0.042,0.007,-0.697,842,427,0.165,
HY1PDvsCN,R_parstriangularis,-0.020,0.009,-0.022,0.014,-0.179,846,427,0.661,
HY1PDvsCN,R_pericalcarine,-0.030,0.009,-0.025,0.011,-0.440,771,395,0.442,
HY1PDvsCN,R_postcentral,-0.107,0.008,-0.037,-0.004,-1.070,816,409,0.014,
HY1PDvsCN,R_posteriorcingulate,-0.109,0.010,-0.045,-0.005,-1.053,845,434,0.014,
HY1PDvsCN,R_precentral,-0.106,0.011,-0.045,-0.001,-0.981,813,421,0.037,
HY1PDvsCN,R_precuneus,-0.168,0.009,-0.050,-0.016,-1.461,844,431,<0.001,
HY1PDvsCN,R_rostralanteriorcingulate,-0.041,0.014,-0.041,0.016,-0.472,837,428,0.383,
HY1PDvsCN,R_rostralmiddlefrontal,-0.016,0.009,-0.021,0.014,-0.162,842,427,0.690,
HY1PDvsCN,R_superiorfrontal,-0.113,0.009,-0.041,-0.005,-0.899,840,423,0.014,
HY1PDvsCN,R_superiorparietal,-0.170,0.009,-0.053,-0.018,-1.708,837,426,<0.001,
HY1PDvsCN,R_superiortemporal,-0.041,0.011,-0.031,0.010,-0.391,800,404,0.332,
HY1PDvsCN,R_supramarginal,-0.114,0.010,-0.043,-0.004,-0.977,829,419,0.016,
HY1PDvsCN,R_frontalpole,-0.046,0.017,-0.047,0.018,-0.553,843,430,0.389,
HY1PDvsCN,R_temporalpole,0.002,0.020,-0.039,0.041,0.025,819,416,0.965,
HY1PDvsCN,R_transversetemporal,0.001,0.015,-0.029,0.030,0.021,835,435,0.975,
HY1PDvsCN,R_insula,-0.052,0.012,-0.037,0.010,-0.459,835,429,0.271,
