SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
APS<BIPS,Laccumb,0.08,,0.37,-0.2,,,0.57,
APS<BIPS,Lamyg,-0.13,,0.16,-0.41,,,0.38,
APS<BIPS,Lcaud,0.16,,0.45,-0.13,,,0.28,
APS<BIPS,Lhippo,-0.01,,0.27,-0.29,,,0.96,
APS<BIPS,Lpal,-0.04,,0.24,-0.33,,,0.76,
APS<BIPS,Lput,-0.05,,0.24,-0.33,,,0.74,
APS<BIPS,Lthal,-0.09,,0.2,-0.37,,,0.55,
APS<BIPS,LLatVent,0.15,,0.44,-0.14,,,0.30,
APS<BIPS,Raccumb,0.04,,0.33,-0.24,,,0.77,
APS<BIPS,Ramyg,-0.29,,-0.01,-0.57,,,0.05,
APS<BIPS,Rcaud,0.09,,0.38,-0.2,,,0.54,
APS<BIPS,Rhippo,0.04,,0.32,-0.24,,,0.78,
APS<BIPS,Rpal,0.06,,0.35,-0.22,,,0.65,
APS<BIPS,Rput,-0.12,,0.17,-0.41,,,0.41,
APS<BIPS,Rthal,-0.01,,0.28,-0.29,,,0.97,
APS<BIPS,RLatVent,0.30,,0.59,0.01,,,0.05,
