CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
MoCAvsCN,L_bankssts,-0.073,0.012,-0.050,-0.002,-1.127,1081,940,0.034,
MoCAvsCN,L_caudalanteriorcingulate,0.023,0.018,-0.025,0.047,0.421,1169,1026,0.551,
MoCAvsCN,L_caudalmiddlefrontal,-0.078,0.010,-0.042,-0.002,-0.905,1167,1034,0.034,
MoCAvsCN,L_cuneus,0.010,0.009,-0.016,0.021,0.145,1118,939,0.787,
MoCAvsCN,L_entorhinal,-0.010,0.022,-0.049,0.038,-0.176,1163,1017,0.797,
MoCAvsCN,L_fusiform,-0.093,0.010,-0.049,-0.008,-1.114,1170,1012,0.006,
MoCAvsCN,L_inferiorparietal,-0.081,0.009,-0.039,-0.003,-0.928,1128,1006,0.022,
MoCAvsCN,L_inferiortemporal,-0.102,0.011,-0.052,-0.011,-1.176,1110,991,0.003,
MoCAvsCN,L_isthmuscingulate,-0.096,0.013,-0.058,-0.007,-1.383,1173,1031,0.011,
MoCAvsCN,L_lateraloccipital,-0.098,0.009,-0.043,-0.006,-1.168,1151,1006,0.008,
MoCAvsCN,L_lateralorbitofrontal,-0.087,0.011,-0.048,-0.006,-1.068,1168,1025,0.011,
MoCAvsCN,L_lingual,-0.018,0.009,-0.021,0.013,-0.229,1158,998,0.614,
MoCAvsCN,L_medialorbitofrontal,-0.045,0.011,-0.034,0.008,-0.565,1166,1019,0.222,
MoCAvsCN,L_middletemporal,-0.089,0.012,-0.052,-0.006,-1.096,1096,943,0.012,
MoCAvsCN,L_parahippocampal,-0.104,0.020,-0.092,-0.015,-2.036,1169,1030,0.007,
MoCAvsCN,L_paracentral,-0.026,0.011,-0.031,0.014,-0.373,1170,1028,0.461,
MoCAvsCN,L_parsopercularis,-0.011,0.010,-0.022,0.016,-0.135,1174,1025,0.741,
MoCAvsCN,L_parsorbitalis,-0.044,0.013,-0.042,0.010,-0.618,1171,1025,0.233,
MoCAvsCN,L_parstriangularis,-0.016,0.010,-0.024,0.015,-0.198,1174,1023,0.650,
MoCAvsCN,L_pericalcarine,-0.004,0.009,-0.020,0.017,-0.078,1124,940,0.897,
MoCAvsCN,L_postcentral,-0.057,0.009,-0.031,0.002,-0.728,1130,995,0.093,
MoCAvsCN,L_posteriorcingulate,-0.079,0.011,-0.047,0.003,-1.040,1173,1032,0.026,
MoCAvsCN,L_precentral,-0.073,0.011,-0.044,-0.001,-0.946,1126,1018,0.039,
MoCAvsCN,L_precuneus,-0.111,0.009,-0.049,-0.013,-1.393,1173,1033,<0.001,
MoCAvsCN,L_rostralanteriorcingulate,-0.053,0.016,-0.054,0.009,-0.821,1164,1022,0.159,
MoCAvsCN,L_rostralmiddlefrontal,-0.025,0.009,-0.023,0.010,-0.293,1170,1026,0.441,
MoCAvsCN,L_superiorfrontal,-0.083,0.010,-0.042,-0.004,-0.896,1163,1012,0.019,
MoCAvsCN,L_superiorparietal,-0.052,0.009,-0.032,0.004,-0.684,1150,1003,0.117,
MoCAvsCN,L_superiortemporal,-0.101,0.011,-0.054,-0.010,-1.245,1070,904,0.004,
MoCAvsCN,L_supramarginal,-0.096,0.010,-0.046,-0.007,-1.124,1118,997,0.007,
MoCAvsCN,L_frontalpole,-0.018,0.018,-0.043,0.027,-0.308,1169,1031,0.647,
MoCAvsCN,L_temporalpole,-0.055,0.022,-0.073,0.012,-0.862,1150,971,0.157,
MoCAvsCN,L_transversetemporal,-0.009,0.015,-0.032,0.025,-0.164,1174,1036,0.807,
MoCAvsCN,L_insula,-0.055,0.012,-0.041,0.006,-0.600,1168,1031,0.149,
MoCAvsCN,R_bankssts,-0.102,0.012,-0.061,-0.013,-1.525,1129,1005,0.002,
MoCAvsCN,R_caudalanteriorcingulate,-0.021,0.017,-0.042,0.023,-0.372,1173,1025,0.581,
MoCAvsCN,R_caudalmiddlefrontal,-0.052,0.010,-0.034,0.006,-0.597,1167,1034,0.159,
MoCAvsCN,R_cuneus,-0.031,0.010,-0.029,0.010,-0.519,1085,929,0.342,
MoCAvsCN,R_entorhinal,-0.049,0.024,-0.082,0.010,-1.057,1145,1011,0.127,
MoCAvsCN,R_fusiform,-0.101,0.012,-0.065,-0.017,-1.552,1172,1019,<0.001,
MoCAvsCN,R_inferiorparietal,-0.119,0.010,-0.053,-0.016,-1.480,1153,1004,<0.001,
MoCAvsCN,R_inferiortemporal,-0.075,0.011,-0.046,-0.004,-0.925,1129,1007,0.021,
MoCAvsCN,R_isthmuscingulate,-0.083,0.013,-0.055,-0.004,-1.277,1175,1031,0.022,
MoCAvsCN,R_lateraloccipital,-0.105,0.010,-0.049,-0.010,-1.370,1157,1007,0.003,
MoCAvsCN,R_lateralorbitofrontal,-0.044,0.011,-0.036,0.006,-0.599,1169,1026,0.164,
MoCAvsCN,R_lingual,-0.026,0.009,-0.025,0.011,-0.373,1126,981,0.420,
MoCAvsCN,R_medialorbitofrontal,-0.001,0.012,-0.023,0.022,-0.012,1165,1022,0.981,
MoCAvsCN,R_middletemporal,-0.063,0.011,-0.044,<0.001,-0.818,1136,1005,0.049,
MoCAvsCN,R_parahippocampal,-0.156,0.017,-0.106,-0.039,-2.801,1173,1030,<0.001,
MoCAvsCN,R_paracentral,-0.029,0.011,-0.032,0.013,-0.417,1173,1026,0.403,
MoCAvsCN,R_parsopercularis,-0.001,0.010,-0.021,0.020,-0.007,1172,1023,0.987,
MoCAvsCN,R_parsorbitalis,0.011,0.013,-0.022,0.030,0.155,1172,1024,0.766,
MoCAvsCN,R_parstriangularis,0.016,0.010,-0.015,0.024,0.195,1173,1022,0.648,
MoCAvsCN,R_pericalcarine,0.017,0.010,-0.014,0.025,0.361,1070,912,0.565,
MoCAvsCN,R_postcentral,-0.057,0.009,-0.032,0.002,-0.799,1134,996,0.079,
MoCAvsCN,R_posteriorcingulate,-0.065,0.011,-0.044,<0.001,-0.915,1174,1031,0.055,
MoCAvsCN,R_precentral,-0.050,0.011,-0.038,0.006,-0.663,1131,1021,0.163,
MoCAvsCN,R_precuneus,-0.132,0.009,-0.056,-0.019,-1.673,1174,1032,<0.001,
MoCAvsCN,R_rostralanteriorcingulate,-0.023,0.016,-0.042,0.021,-0.399,1164,1025,0.507,
MoCAvsCN,R_rostralmiddlefrontal,0.028,0.009,-0.009,0.026,0.384,1168,1026,0.351,
MoCAvsCN,R_superiorfrontal,-0.067,0.010,-0.038,<0.001,-0.748,1163,1012,0.046,
MoCAvsCN,R_superiorparietal,-0.102,0.009,-0.048,-0.012,-1.453,1161,1017,0.001,
MoCAvsCN,R_superiortemporal,-0.078,0.011,-0.050,-0.007,-1.098,1114,979,0.009,
MoCAvsCN,R_supramarginal,-0.105,0.010,-0.049,-0.011,-1.252,1148,1005,0.002,
MoCAvsCN,R_frontalpole,-0.051,0.018,-0.058,0.011,-0.898,1171,1030,0.183,
MoCAvsCN,R_temporalpole,-0.052,0.022,-0.078,0.010,-0.934,1142,999,0.127,
MoCAvsCN,R_transversetemporal,-0.060,0.016,-0.064,-0.001,-1.417,1175,1035,0.043,
MoCAvsCN,R_insula,-0.038,0.013,-0.040,0.012,-0.491,1163,1028,0.282,
