Cortical thickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
AgevsCortThick,L_bankssts,-0.187,,,,,,,
AgevsCortThick,L_caudalanteriorcingulate,0.073,,,,,,,
AgevsCortThick,L_caudalmiddlefrontal,-0.163,,,,,,,
AgevsCortThick,L_cuneus,-0.126,,,,,,,
AgevsCortThick,L_entorhinal,-0.22,,,,,,,
AgevsCortThick,L_fusiform,-0.18,,,,,,,
AgevsCortThick,L_inferiorparietal,-0.304,,,,,,,
AgevsCortThick,L_inferiortemporal,-0.103,,,,,,,
AgevsCortThick,L_isthmuscingulate,-0.166,,,,,,,
AgevsCortThick,L_lateraloccipital,-0.226,,,,,,,
AgevsCortThick,L_lateralorbitofrontal,-0.162,,,,,,,
AgevsCortThick,L_lingual,-0.249,,,,,,,
AgevsCortThick,L_medialorbitofrontal,-0.12,,,,,,,
AgevsCortThick,L_middletemporal,-0.27,,,,,,,
AgevsCortThick,L_parahippocampal,-0.159,,,,,,,
AgevsCortThick,L_paracentral,-0.217,,,,,,,
AgevsCortThick,L_parsopercularis,-0.212,,,,,,,
AgevsCortThick,L_parsorbitalis,-0.122,,,,,,,
AgevsCortThick,L_parstriangularis,-0.128,,,,,,,
AgevsCortThick,L_pericalcarine,-0.172,,,,,,,
AgevsCortThick,L_postcentral,-0.229,,,,,,,
AgevsCortThick,L_posteriorcingulate,-0.104,,,,,,,
AgevsCortThick,L_precentral,-0.336,,,,,,,
AgevsCortThick,L_precuneus,-0.33,,,,,,,
AgevsCortThick,L_rostralanteriorcingulate,0.005,,,,,,,
AgevsCortThick,L_rostralmiddlefrontal,-0.089,,,,,,,
AgevsCortThick,L_superiorfrontal,-0.244,,,,,,,
AgevsCortThick,L_superiorparietal,-0.282,,,,,,,
AgevsCortThick,L_superiortemporal,-0.417,,,,,,,
AgevsCortThick,L_supramarginal,-0.309,,,,,,,
AgevsCortThick,L_frontalpole,-0.019,,,,,,,
AgevsCortThick,L_temporalpole,-0.155,,,,,,,
AgevsCortThick,L_transversetemporal,-0.161,,,,,,,
AgevsCortThick,L_insula,-0.188,,,,,,,
AgevsCortThick,R_bankssts,-0.196,,,,,,,
AgevsCortThick,R_caudalanteriorcingulate,0.049,,,,,,,
AgevsCortThick,R_caudalmiddlefrontal,-0.209,,,,,,,
AgevsCortThick,R_cuneus,-0.138,,,,,,,
AgevsCortThick,R_entorhinal,-0.252,,,,,,,
AgevsCortThick,R_fusiform,-0.232,,,,,,,
AgevsCortThick,R_inferiorparietal,-0.276,,,,,,,
AgevsCortThick,R_inferiortemporal,-0.176,,,,,,,
AgevsCortThick,R_isthmuscingulate,-0.122,,,,,,,
AgevsCortThick,R_lateraloccipital,-0.265,,,,,,,
AgevsCortThick,R_lateralorbitofrontal,-0.038,,,,,,,
AgevsCortThick,R_lingual,-0.221,,,,,,,
AgevsCortThick,R_medialorbitofrontal,-0.012,,,,,,,
AgevsCortThick,R_middletemporal,-0.188,,,,,,,
AgevsCortThick,R_parahippocampal,-0.176,,,,,,,
AgevsCortThick,R_paracentral,-0.199,,,,,,,
AgevsCortThick,R_parsopercularis,-0.157,,,,,,,
AgevsCortThick,R_parsorbitalis,-0.078,,,,,,,
AgevsCortThick,R_parstriangularis,-0.115,,,,,,,
AgevsCortThick,R_pericalcarine,-0.131,,,,,,,
AgevsCortThick,R_postcentral,-0.226,,,,,,,
AgevsCortThick,R_posteriorcingulate,-0.118,,,,,,,
AgevsCortThick,R_precentral,-0.294,,,,,,,
AgevsCortThick,R_precuneus,-0.313,,,,,,,
AgevsCortThick,R_rostralanteriorcingulate,0.055,,,,,,,
AgevsCortThick,R_rostralmiddlefrontal,-0.057,,,,,,,
AgevsCortThick,R_superiorfrontal,-0.223,,,,,,,
AgevsCortThick,R_superiorparietal,-0.236,,,,,,,
AgevsCortThick,R_superiortemporal,-0.396,,,,,,,
AgevsCortThick,R_supramarginal,-0.291,,,,,,,
AgevsCortThick,R_frontalpole,-0.034,,,,,,,
AgevsCortThick,R_temporalpole,-0.263,,,,,,,
AgevsCortThick,R_transversetemporal,-0.115,,,,,,,
AgevsCortThick,R_insula,-0.241,,,,,,,
