SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,%diff,n_controls,n_patients,pobs,fdr_p
HY1PDvsCN,Laccumb,0.006,7.08,-13.06,14.72,0.17,832,434,0.907,
HY1PDvsCN,Lamyg,-0.064,13.35,-43.33,9.06,-1.15,834,428,0.199,
HY1PDvsCN,Lcaud,0.054,25.3,-23.72,75.55,0.76,835,430,0.306,
HY1PDvsCN,Lhippo,0.069,27.76,-17.67,91.24,0.93,819,428,0.185,
HY1PDvsCN,Lpal,-0.041,14.91,-41.91,16.59,-0.86,762,418,0.396,
HY1PDvsCN,Lput,-0.077,40.79,-139.39,20.68,-1.17,763,422,0.146,
HY1PDvsCN,Lthal,0.151,49.27,57.04,250.39,2.15,809,417,0.002,
HY1PDvsCN,LLatVent,0.069,402.53,-295.73,1283.73,4.22,840,434,0.220,
HY1PDvsCN,Raccumb,0.005,6.67,-12.39,13.8,0.14,824,432,0.916,
HY1PDvsCN,Ramyg,0.006,13.5,-24.79,28.16,0.11,827,430,0.901,
HY1PDvsCN,Rcaud,0.072,25.85,-14.12,87.33,1.05,844,432,0.157,
HY1PDvsCN,Rhippo,0.062,28.13,-21.01,89.38,0.84,831,429,0.225,
HY1PDvsCN,Rpal,-0.068,13.8,-45.25,8.9,-1.21,823,423,0.188,
HY1PDvsCN,Rput,-0.074,39.41,-133.14,21.49,-1.15,814,424,0.157,
HY1PDvsCN,Rthal,0.086,40.83,-11.66,148.56,1.03,815,420,0.094,
HY1PDvsCN,RLatVent,0.109,376.92,-14.35,1464.62,6.74,841,433,0.055,
