SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_firstepisode,n_recurrent,pobs,fdr_p
MDDadolescent_firstepisodevsrecurrent,L_bankssts,-0.243,0.168,,,61,89,0.149,0.385
MDDadolescent_firstepisodevsrecurrent,L_caudalanteriorcingulate,0.079,0.158,,,67,102,0.618,0.721
MDDadolescent_firstepisodevsrecurrent,L_caudalmiddlefrontal,-0.253,0.159,,,67,102,0.112,0.375
MDDadolescent_firstepisodevsrecurrent,L_cuneus,0.118,0.302,,,67,102,0.696,0.774
MDDadolescent_firstepisodevsrecurrent,L_entorhinal,0.248,0.16,,,66,100,0.121,0.375
MDDadolescent_firstepisodevsrecurrent,L_fusiform,-0.153,0.159,,,67,102,0.335,0.509
MDDadolescent_firstepisodevsrecurrent,L_inferiorparietal,-0.492,0.183,,,67,102,0.007,0.1
MDDadolescent_firstepisodevsrecurrent,L_inferiortemporal,-0.199,0.159,,,67,102,0.209,0.431
MDDadolescent_firstepisodevsrecurrent,L_isthmuscingulate,-0.532,0.162,,,66,102,0.001,0.072
MDDadolescent_firstepisodevsrecurrent,L_lateraloccipital,-0.101,0.197,,,67,101,0.608,0.721
MDDadolescent_firstepisodevsrecurrent,L_lateralorbitofrontal,-0.159,0.159,,,67,102,0.318,0.495
MDDadolescent_firstepisodevsrecurrent,L_lingual,-0.172,0.159,,,67,102,0.277,0.468
MDDadolescent_firstepisodevsrecurrent,L_medialorbitofrontal,-0.357,0.307,,,66,102,0.245,0.464
MDDadolescent_firstepisodevsrecurrent,L_middletemporal,-0.468,0.166,,,64,91,0.005,0.1
MDDadolescent_firstepisodevsrecurrent,L_parahippocampal,0.15,0.253,,,66,101,0.555,0.671
MDDadolescent_firstepisodevsrecurrent,L_paracentral,-0.346,0.16,,,67,101,0.031,0.248
MDDadolescent_firstepisodevsrecurrent,L_parsopercularis,-0.19,0.16,,,66,101,0.234,0.464
MDDadolescent_firstepisodevsrecurrent,L_parsorbitalis,-0.034,0.159,,,67,102,0.831,0.882
MDDadolescent_firstepisodevsrecurrent,L_parstriangularis,-0.201,0.304,,,67,102,0.508,0.671
MDDadolescent_firstepisodevsrecurrent,L_pericalcarine,-0.031,0.159,,,67,102,0.846,0.884
MDDadolescent_firstepisodevsrecurrent,L_postcentral,-0.236,0.263,,,66,102,0.368,0.526
MDDadolescent_firstepisodevsrecurrent,L_posteriorcingulate,-0.232,0.159,,,67,102,0.144,0.385
MDDadolescent_firstepisodevsrecurrent,L_precentral,-0.317,0.16,,,67,101,0.048,0.281
MDDadolescent_firstepisodevsrecurrent,L_precuneus,-0.245,0.159,,,67,102,0.123,0.375
MDDadolescent_firstepisodevsrecurrent,L_rostralanteriorcingulate,-0.185,0.159,,,67,102,0.244,0.464
MDDadolescent_firstepisodevsrecurrent,L_rostralmiddlefrontal,-0.302,0.212,,,67,102,0.154,0.385
MDDadolescent_firstepisodevsrecurrent,L_superiorfrontal,-0.336,0.16,,,67,101,0.035,0.248
MDDadolescent_firstepisodevsrecurrent,L_superiorparietal,-0.256,0.159,,,67,102,0.108,0.375
MDDadolescent_firstepisodevsrecurrent,L_superiortemporal,-0.097,0.163,,,64,94,0.553,0.671
MDDadolescent_firstepisodevsrecurrent,L_supramarginal,-0.201,0.16,,,67,102,0.207,0.431
MDDadolescent_firstepisodevsrecurrent,L_frontalpole,0.023,0.207,,,67,102,0.911,0.911
MDDadolescent_firstepisodevsrecurrent,L_temporalpole,-0.118,0.184,,,67,102,0.521,0.671
MDDadolescent_firstepisodevsrecurrent,L_transversetemporal,0.097,0.158,,,67,102,0.542,0.671
MDDadolescent_firstepisodevsrecurrent,L_insula,0.063,0.372,,,67,102,0.864,0.89
MDDadolescent_firstepisodevsrecurrent,R_bankssts,-0.449,0.164,,,65,94,0.006,0.1
MDDadolescent_firstepisodevsrecurrent,R_caudalanteriorcingulate,-0.174,0.159,,,67,102,0.273,0.468
MDDadolescent_firstepisodevsrecurrent,R_caudalmiddlefrontal,-0.37,0.161,,,66,101,0.022,0.216
MDDadolescent_firstepisodevsrecurrent,R_cuneus,-0.178,0.302,,,66,102,0.556,0.671
MDDadolescent_firstepisodevsrecurrent,R_entorhinal,-0.233,0.161,,,66,99,0.149,0.385
MDDadolescent_firstepisodevsrecurrent,R_fusiform,-0.072,0.159,,,67,100,0.651,0.735
MDDadolescent_firstepisodevsrecurrent,R_inferiorparietal,-0.165,0.159,,,67,102,0.299,0.475
MDDadolescent_firstepisodevsrecurrent,R_inferiortemporal,-0.149,0.159,,,67,102,0.349,0.518
MDDadolescent_firstepisodevsrecurrent,R_isthmuscingulate,-0.738,0.259,,,67,102,0.004,0.1
MDDadolescent_firstepisodevsrecurrent,R_lateraloccipital,-0.25,0.159,,,67,102,0.115,0.375
